tour,year,tourney_level,surface,match_count
ATP,1968,A,,621
ATP,1968,A,Carpet,335
ATP,1968,A,Clay,1228
ATP,1968,A,Grass,636
ATP,1968,A,Hard,793
ATP,1968,D,,78
ATP,1968,D,Carpet,4
ATP,1968,D,Clay,69
ATP,1968,D,Grass,4
ATP,1968,D,Hard,22
ATP,1968,G,Clay,127
ATP,1968,G,Grass,283
ATP,1968,M,Clay,177
ATP,1969,A,Carpet,290
ATP,1969,A,Clay,826
ATP,1969,A,Grass,675
ATP,1969,A,Hard,545
ATP,1969,D,,70
ATP,1969,D,Clay,85
ATP,1969,D,Grass,20
ATP,1969,D,Hard,4
ATP,1969,G,Clay,127
ATP,1969,G,Grass,301
ATP,1969,M,Clay,222
ATP,1970,A,,14
ATP,1970,A,Carpet,285
ATP,1970,A,Clay,796
ATP,1970,A,Grass,688
ATP,1970,A,Hard,785
ATP,1970,D,,110
ATP,1970,D,Clay,69
ATP,1970,D,Hard,4
ATP,1970,G,Clay,127
ATP,1970,G,Grass,281
ATP,1970,M,Carpet,15
ATP,1970,M,Clay,113
ATP,1971,A,,90
ATP,1971,A,Carpet,272
ATP,1971,A,Clay,941
ATP,1971,A,Grass,420
ATP,1971,A,Hard,1127
ATP,1971,D,,90
ATP,1971,D,Clay,82
ATP,1971,D,Hard,12
ATP,1971,G,Clay,127
ATP,1971,G,Grass,301
ATP,1971,M,Carpet,21
ATP,1971,M,Clay,157
ATP,1972,A,,322
ATP,1972,A,Carpet,479
ATP,1972,A,Clay,645
ATP,1972,A,Grass,481
ATP,1972,A,Hard,900
ATP,1972,D,,95
ATP,1972,D,Carpet,4
ATP,1972,D,Clay,95
ATP,1972,D,Hard,4
ATP,1972,G,Clay,79
ATP,1972,G,Grass,303
ATP,1972,M,Carpet,15
ATP,1972,M,Clay,195
ATP,1973,A,,241
ATP,1973,A,Carpet,603
ATP,1973,A,Clay,1218
ATP,1973,A,Grass,508
ATP,1973,A,Hard,891
ATP,1973,D,,89
ATP,1973,D,Carpet,4
ATP,1973,D,Clay,102
ATP,1973,D,Grass,13
ATP,1973,D,Hard,18
ATP,1973,G,Clay,127
ATP,1973,G,Grass,309
ATP,1973,M,Carpet,15
ATP,1973,M,Clay,189
ATP,1974,A,,344
ATP,1974,A,Carpet,715
ATP,1974,A,Clay,993
ATP,1974,A,Grass,430
ATP,1974,A,Hard,853
ATP,1974,D,,138
ATP,1974,D,Carpet,12
ATP,1974,D,Clay,73
ATP,1974,D,Grass,4
ATP,1974,D,Hard,22
ATP,1974,G,Clay,127
ATP,1974,G,Grass,317
ATP,1974,M,Clay,157
ATP,1974,M,Grass,15
ATP,1975,A,,194
ATP,1975,A,Carpet,915
ATP,1975,A,Clay,1368
