tour,slam,year,round,match_count
ATP,Australian Open,1968,R64,30
ATP,Australian Open,1968,R32,16
ATP,Australian Open,1968,R16,8
ATP,Australian Open,1968,QF,4
ATP,Australian Open,1968,SF,2
ATP,Australian Open,1968,F,1
ATP,Australian Open,1969,R64,16
ATP,Australian Open,1969,R32,16
ATP,Australian Open,1969,R16,8
ATP,Australian Open,1969,QF,4
ATP,Australian Open,1969,SF,2
ATP,Australian Open,1969,F,1
ATP,Australian Open,1970,R64,16
ATP,Australian Open,1970,R32,16
ATP,Australian Open,1970,R16,8
ATP,Australian Open,1970,QF,4
ATP,Australian Open,1970,SF,2
ATP,Australian Open,1970,F,1
ATP,Australian Open,1971,R64,16
ATP,Australian Open,1971,R32,16
ATP,Australian Open,1971,R16,8
ATP,Australian Open,1971,QF,4
ATP,Australian Open,1971,SF,2
ATP,Australian Open,1971,F,1
ATP,Australian Open,1972,R64,18
ATP,Australian Open,1972,R32,16
ATP,Australian Open,1972,R16,8
ATP,Australian Open,1972,QF,4
ATP,Australian Open,1972,SF,2
ATP,Australian Open,1972,F,1
ATP,Australian Open,1973,R64,24
ATP,Australian Open,1973,R32,16
ATP,Australian Open,1973,R16,8
ATP,Australian Open,1973,QF,4
ATP,Australian Open,1973,SF,2
ATP,Australian Open,1973,F,1
ATP,Australian Open,1974,R64,32
ATP,Australian Open,1974,R32,16
ATP,Australian Open,1974,R16,8
ATP,Australian Open,1974,QF,4
ATP,Australian Open,1974,SF,2
ATP,Australian Open,1974,F,1
ATP,Australian Open,1975,R64,32
ATP,Australian Open,1975,R32,16
ATP,Australian Open,1975,R16,8
ATP,Australian Open,1975,QF,4
ATP,Australian Open,1975,SF,2
ATP,Australian Open,1975,F,1
ATP,Australian Open,1976,R64,32
ATP,Australian Open,1976,R32,16
ATP,Australian Open,1976,R16,8
ATP,Australian Open,1976,QF,4
ATP,Australian Open,1976,SF,2
ATP,Australian Open,1976,F,1
ATP,Australian Open,1977,R64,64
ATP,Australian Open,1977,R32,32
ATP,Australian Open,1977,R16,16
ATP,Australian Open,1977,QF,8
ATP,Australian Open,1977,SF,4
ATP,Australian Open,1977,F,2
ATP,Australian Open,1978,R64,32
ATP,Australian Open,1978,R32,16
ATP,Australian Open,1978,R16,8
ATP,Australian Open,1978,QF,4
ATP,Australian Open,1978,SF,2
ATP,Australian Open,1978,F,1
ATP,Australian Open,1979,R64,32
ATP,Australian Open,1979,R32,16
ATP,Australian Open,1979,R16,8
ATP,Australian Open,1979,QF,4
ATP,Australian Open,1979,SF,2
ATP,Australian Open,1979,F,1
ATP,Australian Open,1980,R64,32
ATP,Australian Open,1980,R32,16
ATP,Australian Open,1980,R16,8
ATP,Australian Open,1980,QF,4
ATP,Australian Open,1980,SF,2
ATP,Australian Open,1980,F,1
ATP,Australian Open,1981,R64,32
ATP,Australian Open,1981,R32,16
ATP,Australian Open,1981,R16,8
ATP,Australian Open,1981,QF,4
ATP,Australian Open,1981,SF,2
ATP,Australian Open,1981,F,1
ATP,Australian Open,1982,R128,32
ATP,Australian Open,1982,R64,32
ATP,Australian Open,1982,R32,16
ATP,Australian Open,1982,R16,8
ATP,Australian Open,1982,QF,4
ATP,Australian Open,1982,SF,2
ATP,Australian Open,1982,F,1
ATP,Australian Open,1983,R128,32
ATP,Australian Open,1983,R64,32
ATP,Australian Open,1983,R32,16
ATP,Australian Open,1983,R16,8
ATP,Australian Open,1983,QF,4
ATP,Australian Open,1983,SF,2
ATP,Australian Open,1983,F,1
ATP,Australian Open,1984,R128,32
ATP,Australian Open,1984,R64,32
ATP,Australian Open,1984,R32,16
ATP,Australian Open,1984,R16,8
ATP,Australian Open,1984,QF,4
ATP,Australian Open,1984,SF,2
ATP,Australian Open,1984,F,1
ATP,Australian Open,1985,R128,32
ATP,Australian Open,1985,R64,32
ATP,Australian Open,1985,R32,16
ATP,Australian Open,1985,R16,8
ATP,Australian Open,1985,QF,4
ATP,Australian Open,1985,SF,2
ATP,Australian Open,1985,F,1
ATP,Australian Open,1987,R128,32
ATP,Australian Open,1987,R64,32
ATP,Australian Open,1987,R32,16
ATP,Australian Open,1987,R16,8
ATP,Australian Open,1987,QF,4
ATP,Australian Open,1987,SF,2
ATP,Australian Open,1987,F,1
ATP,Australian Open,1988,R128,64
ATP,Australian Open,1988,R64,32
ATP,Australian Open,1988,R32,16
ATP,Australian Open,1988,R16,8
ATP,Australian Open,1988,QF,4
ATP,Australian Open,1988,SF,2
ATP,Australian Open,1988,F,1
ATP,Australian Open,1989,R128,64
ATP,Australian Open,1989,R64,32
ATP,Australian Open,1989,R32,16
ATP,Australian Open,1989,R16,8
ATP,Australian Open,1989,QF,4
ATP,Australian Open,1989,SF,2
ATP,Australian Open,1989,F,1
ATP,Australian Open,1990,R128,64
ATP,Australian Open,1990,R64,32
ATP,Australian Open,1990,R32,16
ATP,Australian Open,1990,R16,8
ATP,Australian Open,1990,QF,4
ATP,Australian Open,1990,SF,2
ATP,Australian Open,1990,F,1
ATP,Australian Open,1991,R128,64
ATP,Australian Open,1991,R64,32
ATP,Australian Open,1991,R32,16
ATP,Australian Open,1991,R16,8
ATP,Australian Open,1991,QF,4
ATP,Australian Open,1991,SF,2
ATP,Australian Open,1991,F,1
ATP,Australian Open,1992,R128,64
ATP,Australian Open,1992,R64,32
ATP,Australian Open,1992,R32,16
ATP,Australian Open,1992,R16,8
ATP,Australian Open,1992,QF,4
ATP,Australian Open,1992,SF,2
ATP,Australian Open,1992,F,1
ATP,Australian Open,1993,R128,64
ATP,Australian Open,1993,R64,32
ATP,Australian Open,1993,R32,16
ATP,Australian Open,1993,R16,8
ATP,Australian Open,1993,QF,4
ATP,Australian Open,1993,SF,2
ATP,Australian Open,1993,F,1
ATP,Australian Open,1994,R128,64
ATP,Australian Open,1994,R64,32
ATP,Australian Open,1994,R32,16
ATP,Australian Open,1994,R16,8
ATP,Australian Open,1994,QF,4
ATP,Australian Open,1994,SF,2
ATP,Australian Open,1994,F,1
ATP,Australian Open,1995,R128,64
ATP,Australian Open,1995,R64,32
ATP,Australian Open,1995,R32,16
ATP,Australian Open,1995,R16,8
ATP,Australian Open,1995,QF,4
ATP,Australian Open,1995,SF,2
ATP,Australian Open,1995,F,1
ATP,Australian Open,1996,R128,64
ATP,Australian Open,1996,R64,32
ATP,Australian Open,1996,R32,16
ATP,Australian Open,1996,R16,8
ATP,Australian Open,1996,QF,4
ATP,Australian Open,1996,SF,2
ATP,Australian Open,1996,F,1
ATP,Australian Open,1997,R128,64
ATP,Australian Open,1997,R64,32
ATP,Australian Open,1997,R32,16
ATP,Australian Open,1997,R16,8
ATP,Australian Open,1997,QF,4
ATP,Australian Open,1997,SF,2
ATP,Australian Open,1997,F,1
ATP,Australian Open,1998,R128,64
ATP,Australian Open,1998,R64,32
ATP,Australian Open,1998,R32,16
ATP,Australian Open,1998,R16,8
ATP,Australian Open,1998,QF,4
ATP,Australian Open,1998,SF,2
ATP,Australian Open,1998,F,1
ATP,Australian Open,1999,R128,64
ATP,Australian Open,1999,R64,32
ATP,Australian Open,1999,R32,16
ATP,Australian Open,1999,R16,8
ATP,Australian Open,1999,QF,4
ATP,Australian Open,1999,SF,2
ATP,Australian Open,1999,F,1
ATP,Australian Open,2000,R128,64
ATP,Australian Open,2000,R64,32
ATP,Australian Open,2000,R32,16
ATP,Australian Open,2000,R16,8
ATP,Australian Open,2000,QF,4
ATP,Australian Open,2000,SF,2
ATP,Australian Open,2000,F,1
ATP,Australian Open,2001,R128,64
ATP,Australian Open,2001,R64,32
ATP,Australian Open,2001,R32,16
ATP,Australian Open,2001,R16,8
ATP,Australian Open,2001,QF,4
ATP,Australian Open,2001,SF,2
ATP,Australian Open,2001,F,1
ATP,Australian Open,2002,R128,64
ATP,Australian Open,2002,R64,32
ATP,Australian Open,2002,R32,16
ATP,Australian Open,2002,R16,8
ATP,Australian Open,2002,QF,4
ATP,Australian Open,2002,SF,2
ATP,Australian Open,2002,F,1
ATP,Australian Open,2003,R128,64
ATP,Australian Open,2003,R64,32
ATP,Australian Open,2003,R32,16
ATP,Australian Open,2003,R16,8
ATP,Australian Open,2003,QF,4
ATP,Australian Open,2003,SF,2
ATP,Australian Open,2003,F,1
ATP,Australian Open,2004,R128,64
ATP,Australian Open,2004,R64,32
ATP,Australian Open,2004,R32,16
ATP,Australian Open,2004,R16,8
ATP,Australian Open,2004,QF,4
ATP,Australian Open,2004,SF,2
ATP,Australian Open,2004,F,1
ATP,Australian Open,2005,R128,64
ATP,Australian Open,2005,R64,32
ATP,Australian Open,2005,R32,16
ATP,Australian Open,2005,R16,8
ATP,Australian Open,2005,QF,4
ATP,Australian Open,2005,SF,2
ATP,Australian Open,2005,F,1
ATP,Australian Open,2006,R128,64
ATP,Australian Open,2006,R64,32
ATP,Australian Open,2006,R32,16
ATP,Australian Open,2006,R16,8
ATP,Australian Open,2006,QF,4
ATP,Australian Open,2006,SF,2
ATP,Australian Open,2006,F,1
ATP,Australian Open,2007,R128,64
ATP,Australian Open,2007,R64,32
ATP,Australian Open,2007,R32,16
ATP,Australian Open,2007,R16,8
ATP,Australian Open,2007,QF,4
ATP,Australian Open,2007,SF,2
ATP,Australian Open,2007,F,1
ATP,Australian Open,2008,R128,64
ATP,Australian Open,2008,R64,32
ATP,Australian Open,2008,R32,16
ATP,Australian Open,2008,R16,8
ATP,Australian Open,2008,QF,4
ATP,Australian Open,2008,SF,2
ATP,Australian Open,2008,F,1
ATP,Australian Open,2009,R128,64
ATP,Australian Open,2009,R64,32
ATP,Australian Open,2009,R32,16
ATP,Australian Open,2009,R16,8
ATP,Australian Open,2009,QF,4
ATP,Australian Open,2009,SF,2
ATP,Australian Open,2009,F,1
ATP,Australian Open,2010,R128,64
ATP,Australian Open,2010,R64,32
ATP,Australian Open,2010,R32,16
ATP,Australian Open,2010,R16,8
ATP,Australian Open,2010,QF,4
ATP,Australian Open,2010,SF,2
ATP,Australian Open,2010,F,1
ATP,Australian Open,2011,R128,64
ATP,Australian Open,2011,R64,32
ATP,Australian Open,2011,R32,16
ATP,Australian Open,2011,R16,8
ATP,Australian Open,2011,QF,4
ATP,Australian Open,2011,SF,2
ATP,Australian Open,2011,F,1
ATP,Australian Open,2012,R128,64
ATP,Australian Open,2012,R64,32
ATP,Australian Open,2012,R32,16
ATP,Australian Open,2012,R16,8
ATP,Australian Open,2012,QF,4
ATP,Australian Open,2012,SF,2
ATP,Australian Open,2012,F,1
ATP,Australian Open,2013,R128,64
ATP,Australian Open,2013,R64,32
ATP,Australian Open,2013,R32,16
ATP,Australian Open,2013,R16,8
