model,tour,probability_bin,matches,mean_probability,observed_win_rate
overall_elo,ATP,0,1167,0.073020209988,0.066838046272
overall_elo,ATP,1,5207,0.157463413494,0.178029575571
overall_elo,ATP,2,9736,0.253923545577,0.265714872638
overall_elo,ATP,3,13839,0.35247995195,0.344678083677
overall_elo,ATP,4,19641,0.452961537189,0.456595896339
overall_elo,ATP,5,20965,0.547109470619,0.550011924636
overall_elo,ATP,6,15361,0.647476020318,0.62880020832
overall_elo,ATP,7,10383,0.745951370616,0.710006741789
overall_elo,ATP,8,5186,0.841908950233,0.802930967991
overall_elo,ATP,9,1146,0.928587712962,0.894415357766
overall_elo,WTA,0,1704,0.061404294546,0.094483568075
overall_elo,WTA,1,3989,0.154220889027,0.194534971171
overall_elo,WTA,2,6103,0.252510968825,0.274291332132
overall_elo,WTA,3,8600,0.352917801119,0.389186046512
overall_elo,WTA,4,13119,0.454377657578,0.497675127677
overall_elo,WTA,5,15773,0.547405330122,0.59690610537
overall_elo,WTA,6,12860,0.648524710563,0.636469673406
overall_elo,WTA,7,10691,0.748027657403,0.708259283509
overall_elo,WTA,8,8080,0.846741234928,0.792079207921
overall_elo,WTA,9,4185,0.941346839603,0.904420549582
surface_adjusted_elo,ATP,0,806,0.07344749908,0.058312655087
surface_adjusted_elo,ATP,1,4049,0.158581859052,0.161274388738
surface_adjusted_elo,ATP,2,8374,0.254596272972,0.244088846429
surface_adjusted_elo,ATP,3,12535,0.352873992188,0.332588751496
surface_adjusted_elo,ATP,4,19032,0.453246074257,0.448087431694
surface_adjusted_elo,ATP,5,20409,0.546731917093,0.552403351463
surface_adjusted_elo,ATP,6,14354,0.647084453099,0.634457294134
surface_adjusted_elo,ATP,7,9118,0.745288319521,0.727900855451
surface_adjusted_elo,ATP,8,4158,0.841706900022,0.816017316017
surface_adjusted_elo,ATP,9,865,0.927565401576,0.906358381503
surface_adjusted_elo,WTA,0,1213,0.062528984179,0.078318219291
surface_adjusted_elo,WTA,1,3243,0.155552047962,0.185630588961
surface_adjusted_elo,WTA,2,5337,0.253346504893,0.261382799325
surface_adjusted_elo,WTA,3,8052,0.352821553131,0.371708892201
surface_adjusted_elo,WTA,4,13215,0.454476005719,0.494967839576
surface_adjusted_elo,WTA,5,16063,0.547575852432,0.598642843803
surface_adjusted_elo,WTA,6,12431,0.648189154608,0.642989300941
surface_adjusted_elo,WTA,7,9924,0.74751129966,0.713119709794
surface_adjusted_elo,WTA,8,6745,0.846093849028,0.803113417346
surface_adjusted_elo,WTA,9,3155,0.939710955111,0.909350237718
surface_elo,ATP,0,578,0.074408008259,0.053633217993
surface_elo,ATP,1,3288,0.159365018807,0.145072992701
surface_elo,ATP,2,7337,0.254518728944,0.228703829903
surface_elo,ATP,3,11983,0.353894814668,0.31486272219
surface_elo,ATP,4,20759,0.45461541815,0.454887036948
surface_elo,ATP,5,22425,0.54544326589,0.547603121516
surface_elo,ATP,6,14474,0.646653764106,0.634517065082
surface_elo,ATP,7,8528,0.744312930863,0.726313320826
surface_elo,ATP,8,3665,0.840960118923,0.809276944065
surface_elo,ATP,9,663,0.927200289889,0.920060331825
surface_elo,WTA,0,997,0.065566231769,0.083249749248
surface_elo,WTA,1,2791,0.156504867494,0.184521676818
surface_elo,WTA,2,4763,0.25377447981,0.274196934705
surface_elo,WTA,3,8009,0.354739250723,0.375952053939
surface_elo,WTA,4,14791,0.455067909367,0.496653370293
surface_elo,WTA,5,18010,0.544436655644,0.599611327041
surface_elo,WTA,6,12432,0.647824322667,0.644546332046
surface_elo,WTA,7,9048,0.747208405556,0.715738284704
surface_elo,WTA,8,6037,0.844758502766,0.792446579427
surface_elo,WTA,9,2500,0.937851275927,0.906
