tour,slam,year,matches,matches_lt_1,pct_matches_lt_1,matches_lt_5,pct_matches_lt_5,matches_lt_10,pct_matches_lt_10,matches_lt_20,pct_matches_lt_20,matches_missing_id
ATP,Australian Open,1988,127,4,3.1496062992125986,16,12.598425196850394,38,29.921259842519685,47,37.00787401574803,0
ATP,Australian Open,1989,127,4,3.1496062992125986,23,18.11023622047244,36,28.346456692913385,54,42.51968503937008,0
ATP,Australian Open,1990,127,1,0.7874015748031497,8,6.299212598425197,17,13.385826771653543,24,18.89763779527559,0
ATP,Australian Open,1991,127,2,1.5748031496062993,8,6.299212598425197,23,18.11023622047244,33,25.984251968503937,0
ATP,Australian Open,1992,127,0,0.0,4,3.1496062992125986,6,4.724409448818897,17,13.385826771653543,0
ATP,Australian Open,1993,127,2,1.5748031496062993,5,3.937007874015748,12,9.448818897637794,20,15.748031496062993,0
ATP,Australian Open,1994,127,5,3.937007874015748,9,7.086614173228346,12,9.448818897637794,24,18.89763779527559,0
ATP,Australian Open,1995,127,4,3.1496062992125986,13,10.236220472440944,16,12.598425196850394,24,18.89763779527559,0
ATP,Australian Open,1996,127,2,1.5748031496062993,7,5.511811023622047,10,7.874015748031496,20,15.748031496062993,0
ATP,Australian Open,1997,127,4,3.1496062992125986,14,11.023622047244094,17,13.385826771653543,26,20.47244094488189,0
ATP,Australian Open,1998,127,2,1.5748031496062993,4,3.1496062992125986,8,6.299212598425197,23,18.11023622047244,0
ATP,Australian Open,1999,127,3,2.3622047244094486,6,4.724409448818897,14,11.023622047244094,21,16.53543307086614,0
ATP,Australian Open,2000,127,2,1.5748031496062993,12,9.448818897637794,21,16.53543307086614,33,25.984251968503937,0
ATP,Australian Open,2001,127,3,2.3622047244094486,7,5.511811023622047,11,8.661417322834646,24,18.89763779527559,0
ATP,Australian Open,2002,127,2,1.5748031496062993,5,3.937007874015748,12,9.448818897637794,18,14.173228346456693,0
ATP,Australian Open,2003,127,1,0.7874015748031497,13,10.236220472440944,17,13.385826771653543,25,19.68503937007874,0
ATP,Australian Open,2004,127,2,1.5748031496062993,10,7.874015748031496,12,9.448818897637794,28,22.04724409448819,0
ATP,Australian Open,2005,127,0,0.0,9,7.086614173228346,21,16.53543307086614,27,21.25984251968504,0
ATP,Australian Open,2006,127,1,0.7874015748031497,7,5.511811023622047,16,12.598425196850394,27,21.25984251968504,0
ATP,Australian Open,2007,127,0,0.0,3,2.3622047244094486,16,12.598425196850394,23,18.11023622047244,0
ATP,Australian Open,2008,127,2,1.5748031496062993,4,3.1496062992125986,13,10.236220472440944,24,18.89763779527559,0
ATP,Australian Open,2009,127,1,0.7874015748031497,7,5.511811023622047,12,9.448818897637794,20,15.748031496062993,0
ATP,Australian Open,2010,127,1,0.7874015748031497,10,7.874015748031496,22,17.322834645669293,29,22.834645669291337,0
ATP,Australian Open,2011,127,0,0.0,2,1.5748031496062993,6,4.724409448818897,18,14.173228346456693,0
ATP,Australian Open,2012,127,1,0.7874015748031497,8,6.299212598425197,10,7.874015748031496,14,11.023622047244094,0
ATP,Australian Open,2013,127,2,1.5748031496062993,8,6.299212598425197,11,8.661417322834646,18,14.173228346456693,0
ATP,Australian Open,2014,127,1,0.7874015748031497,9,7.086614173228346,17,13.385826771653543,27,21.25984251968504,0
ATP,Australian Open,2015,127,0,0.0,3,2.3622047244094486,7,5.511811023622047,15,11.811023622047244,0
ATP,Australian Open,2016,127,0,0.0,11,8.661417322834646,14,11.023622047244094,21,16.53543307086614,0
ATP,Australian Open,2017,127,1,0.7874015748031497,11,8.661417322834646,15,11.811023622047244,21,16.53543307086614,0
ATP,Australian Open,2018,127,1,0.7874015748031497,13,10.236220472440944,14,11.023622047244094,27,21.25984251968504,0
ATP,Australian Open,2019,127,0,0.0,3,2.3622047244094486,11,8.661417322834646,20,15.748031496062993,0
ATP,Australian Open,2020,127,4,3.1496062992125986,11,8.661417322834646,14,11.023622047244094,21,16.53543307086614,0
ATP,Australian Open,2021,127,0,0.0,10,7.874015748031496,14,11.023622047244094,26,20.47244094488189,0
ATP,Australian Open,2022,127,0,0.0,3,2.3622047244094486,9,7.086614173228346,18,14.173228346456693,0
ATP,Australian Open,2023,127,3,2.3622047244094486,10,7.874015748031496,21,16.53543307086614,27,21.25984251968504,0
ATP,Australian Open,2024,127,0,0.0,9,7.086614173228346,17,13.385826771653543,35,27.559055118110237,0
ATP,Australian Open,2025,127,3,2.3622047244094486,8,6.299212598425197,16,12.598425196850394,28,22.04724409448819,0
ATP,Roland Garros,1988,127,1,0.7874015748031497,13,10.236220472440944,13,10.236220472440944,28,22.04724409448819,0
ATP,Roland Garros,1989,127,2,1.5748031496062993,10,7.874015748031496,13,10.236220472440944,28,22.04724409448819,0
ATP,Roland Garros,1990,127,1,0.7874015748031497,5,3.937007874015748,6,4.724409448818897,13,10.236220472440944,0
ATP,Roland Garros,1991,127,0,0.0,3,2.3622047244094486,12,9.448818897637794,22,17.322834645669293,0
