model,tour,dimension,value,matches,brier_score,log_loss,accuracy
overall_elo,ATP,era,1988-1999,38231,0.220466087403,0.630929582018,0.642489079543
overall_elo,ATP,era,2000-2009,27139,0.219167183691,0.627697977214,0.647886804967
overall_elo,ATP,era,2010-2019,24154,0.215381903297,0.618881087917,0.653390742734
overall_elo,ATP,era,2020-2025,13107,0.225955744895,0.642551349002,0.623559929808
overall_elo,ATP,experience,1-4,6828,0.217041693234,0.622675064389,0.64762741652
overall_elo,ATP,experience,20+,78048,0.219816555469,0.629209791962,0.643988314883
overall_elo,ATP,experience,5-19,13674,0.219320237107,0.628202786853,0.643776510165
overall_elo,ATP,experience,<1,4081,0.221358858473,0.631291960921,0.640529282039
overall_elo,ATP,match_format,3,95150,0.219754286893,0.629117294861,0.644140830268
overall_elo,ATP,match_format,5,7481,0.218010055934,0.623717146994,0.643095842802
overall_elo,ATP,overall,all,102631,0.21962714605,0.62872366617,0.644064658826
overall_elo,ATP,surface,Carpet,8878,0.216611133073,0.621771013976,0.647781031764
overall_elo,ATP,surface,Clay,35639,0.223973004322,0.638475708282,0.635259126238
overall_elo,ATP,surface,Grass,6971,0.225754481486,0.643960289336,0.631903600631
overall_elo,ATP,surface,Hard,51090,0.216251111443,0.620981241102,0.651340771188
overall_elo,ATP,surface,missing,53,0.250987014581,0.695112609386,0.528301886792
overall_elo,WTA,era,1988-1999,27129,0.200641506757,0.585138905114,0.68959416123
overall_elo,WTA,era,2000-2009,23581,0.211852237645,0.61130904368,0.666595988296
overall_elo,WTA,era,2010-2019,22662,0.221690682434,0.63458080685,0.645044567999
overall_elo,WTA,era,2020-2025,11732,0.222498803436,0.635595278021,0.638339584044
overall_elo,WTA,experience,1-4,7344,0.21150105143,0.611606742056,0.681508714597
overall_elo,WTA,experience,20+,60488,0.210315680557,0.607436339875,0.664859145616
overall_elo,WTA,experience,5-19,12688,0.218961275882,0.629471119284,0.650772383354
overall_elo,WTA,experience,<1,4584,0.222552788903,0.633989345761,0.666666666667
overall_elo,WTA,match_format,3,85001,0.212280080869,0.612322639365,0.664521593864
overall_elo,WTA,match_format,5,103,0.283321417126,0.768439745591,0.47572815534
overall_elo,WTA,overall,all,85104,0.212366061054,0.612511585383,0.664293100207
overall_elo,WTA,surface,Carpet,5341,0.190506418354,0.561630538241,0.710166635462
overall_elo,WTA,surface,Clay,26476,0.215417487071,0.61987158774,0.655801480586
overall_elo,WTA,surface,Grass,5953,0.22434125309,0.641464858321,0.633966067529
overall_elo,WTA,surface,Hard,46949,0.211770866781,0.610867780838,0.66729855801
overall_elo,WTA,surface,missing,385,0.193192695292,0.565000926098,0.714285714286
surface_adjusted_elo,ATP,era,1988-1999,31383,0.219909246927,0.629496499367,0.644202275117
surface_adjusted_elo,ATP,era,2000-2009,25175,0.216767636795,0.622111505978,0.652194637537
surface_adjusted_elo,ATP,era,2010-2019,24088,0.213946584408,0.615437425552,0.657215210893
