tour,selection_step,candidate,model,window,matches,brier_score,log_loss,accuracy
ATP,overall,k16-fixed-half0-w0.5-no-bof,overall_elo,1978-1982,17502,0.19868348284181866,0.580035481820944,0.687921380413667
ATP,overall,k16-fixed-half0-w0.5-no-bof,overall_elo,1983-1987,14604,0.21596723720337602,0.6198112882377542,0.6518761983018351
ATP,overall,k16-fixed-half0-w0.5-bof,overall_elo,1978-1982,17502,0.19859152654813805,0.5798183574830371,0.687407153468175
ATP,overall,k16-fixed-half0-w0.5-bof,overall_elo,1983-1987,14604,0.21587388456183068,0.6196777765370438,0.652013147082991
ATP,overall,k16-fixed-half1095-w0.5-no-bof,overall_elo,1978-1982,17502,0.20124492708880384,0.5874457787035947,0.6852359730316535
ATP,overall,k16-fixed-half1095-w0.5-no-bof,overall_elo,1983-1987,14604,0.21545656685698927,0.6190126338110037,0.6509175568337442
ATP,overall,k16-fixed-half1095-w0.5-bof,overall_elo,1978-1982,17502,0.2011828556226538,0.587273114297926,0.6853502456862073
ATP,overall,k16-fixed-half1095-w0.5-bof,overall_elo,1983-1987,14604,0.21538739452091532,0.6188054418461124,0.650164338537387
ATP,overall,k16-fixed-half1825-w0.5-no-bof,overall_elo,1978-1982,17502,0.1993264934024605,0.5823110571930334,0.6868929265226831
ATP,overall,k16-fixed-half1825-w0.5-no-bof,overall_elo,1983-1987,14604,0.21443636539879918,0.6162262031553316,0.652013147082991
ATP,overall,k16-fixed-half1825-w0.5-bof,overall_elo,1978-1982,17502,0.19927188184387773,0.5821580541811207,0.6870643355045137
ATP,overall,k16-fixed-half1825-w0.5-bof,overall_elo,1983-1987,14604,0.2143719539745683,0.6160460806637902,0.6518077239112572
ATP,overall,k16-rank-half0-w0.5-no-bof,overall_elo,1978-1982,17502,0.19891752076089375,0.5805822331928067,0.6874642897954519
ATP,overall,k16-rank-half0-w0.5-no-bof,overall_elo,1983-1987,14604,0.22083964240593687,0.6340723547624743,0.6494795946316078
ATP,overall,k16-rank-half0-w0.5-bof,overall_elo,1978-1982,17502,0.19883181786268334,0.580388625533521,0.6872928808136213
ATP,overall,k16-rank-half0-w0.5-bof,overall_elo,1983-1987,14604,0.22094587781100353,0.63477156046802,0.6499589153656532
ATP,overall,k16-rank-half1095-w0.5-no-bof,overall_elo,1978-1982,17502,0.20119498068306185,0.5872909713265541,0.6852359730316535
ATP,overall,k16-rank-half1095-w0.5-no-bof,overall_elo,1983-1987,14604,0.21707466925914093,0.6227190238416198,0.6494795946316078
ATP,overall,k16-rank-half1095-w0.5-bof,overall_elo,1978-1982,17502,0.2011366401149801,0.5871243496648677,0.6847788824134384
ATP,overall,k16-rank-half1095-w0.5-bof,overall_elo,1983-1987,14604,0.2171654629674496,0.6229904215014692,0.6489317995069844
ATP,overall,k16-rank-half1825-w0.5-no-bof,overall_elo,1978-1982,17502,0.19934939678683045,0.5823101134818529,0.6870071991772368
ATP,overall,k16-rank-half1825-w0.5-no-bof,overall_elo,1983-1987,14604,0.2170094926550742,0.6225609492421826,0.6522185702547247
ATP,overall,k16-rank-half1825-w0.5-bof,overall_elo,1978-1982,17502,0.19929989302275483,0.5821678590594792,0.6870643355045137
ATP,overall,k16-rank-half1825-w0.5-bof,overall_elo,1983-1987,14604,0.21712368731209197,0.6229632931652895,0.6517392495206793
ATP,overall,k24-fixed-half0-w0.5-no-bof,overall_elo,1978-1982,17502,0.1964030065367015,0.5751077620408156,0.6922637412867101
ATP,overall,k24-fixed-half0-w0.5-no-bof,overall_elo,1983-1987,14604,0.21418562566474117,0.6161662419996627,0.6570117775951794
ATP,overall,k24-fixed-half0-w0.5-bof,overall_elo,1978-1982,17502,0.19634708701030804,0.5749942665547251,0.6927208319049252
ATP,overall,k24-fixed-half0-w0.5-bof,overall_elo,1983-1987,14604,0.21411979123467753,0.6160626904468476,0.6572172007669131
