model,tour,slam,probability_bin,matches,mean_probability,observed_win_rate
overall_elo,ATP,Australian Open,0,121,0.07023993258385657,0.024793388429752067
overall_elo,ATP,Australian Open,1,341,0.15610798621278527,0.07038123167155426
overall_elo,ATP,Australian Open,2,491,0.2517646722385405,0.17922606924643583
overall_elo,ATP,Australian Open,3,586,0.35151567296245423,0.2713310580204778
overall_elo,ATP,Australian Open,4,731,0.4527578441528131,0.454172366621067
overall_elo,ATP,Australian Open,5,697,0.5480224278048715,0.509325681492109
overall_elo,ATP,Australian Open,6,676,0.6498405785519182,0.643491124260355
overall_elo,ATP,Australian Open,7,569,0.7495604698303366,0.7644991212653779
overall_elo,ATP,Australian Open,8,442,0.8455735146839432,0.9004524886877828
overall_elo,ATP,Australian Open,9,160,0.932694875624513,0.98125
overall_elo,ATP,Roland Garros,0,123,0.06865188138329098,0.024390243902439025
overall_elo,ATP,Roland Garros,1,390,0.1558972055382041,0.10512820512820513
overall_elo,ATP,Roland Garros,2,527,0.25276939987643,0.22580645161290322
overall_elo,ATP,Roland Garros,3,591,0.35087080707913054,0.29441624365482233
overall_elo,ATP,Roland Garros,4,674,0.44966772231612695,0.38427299703264095
overall_elo,ATP,Roland Garros,5,696,0.5488260524583068,0.5057471264367817
overall_elo,ATP,Roland Garros,6,664,0.6503077367774135,0.6009036144578314
overall_elo,ATP,Roland Garros,7,591,0.7479961748803098,0.7529610829103215
overall_elo,ATP,Roland Garros,8,417,0.8469327607541515,0.8752997601918465
overall_elo,ATP,Roland Garros,9,139,0.9322708970937579,0.9640287769784173
overall_elo,ATP,US Open,0,131,0.06845789140230356,0.022900763358778626
overall_elo,ATP,US Open,1,367,0.15751157212428127,0.09264305177111716
overall_elo,ATP,US Open,2,497,0.2535852016304833,0.20321931589537223
overall_elo,ATP,US Open,3,591,0.3497303783143431,0.29949238578680204
overall_elo,ATP,US Open,4,700,0.4512412977996265,0.41714285714285715
overall_elo,ATP,US Open,5,741,0.5476354763096102,0.5479082321187584
overall_elo,ATP,US Open,6,645,0.6481195793892793,0.6372093023255814
overall_elo,ATP,US Open,7,568,0.7483708525390859,0.7658450704225352
overall_elo,ATP,US Open,8,431,0.8468329003200888,0.9071925754060325
overall_elo,ATP,US Open,9,140,0.9300656672230586,0.9642857142857143
overall_elo,ATP,Wimbledon,0,134,0.07195868686584116,0.06716417910447761
overall_elo,ATP,Wimbledon,1,365,0.1533484878398346,0.09863013698630137
overall_elo,ATP,Wimbledon,2,521,0.251039586888466,0.2456813819577735
overall_elo,ATP,Wimbledon,3,556,0.3503283823238228,0.35071942446043164
overall_elo,ATP,Wimbledon,4,665,0.45122126518329714,0.4406015037593985
overall_elo,ATP,Wimbledon,5,698,0.5508402837999178,0.5286532951289399
overall_elo,ATP,Wimbledon,6,612,0.6477138800745098,0.6748366013071896
overall_elo,ATP,Wimbledon,7,581,0.7471866256740829,0.7435456110154905
overall_elo,ATP,Wimbledon,8,408,0.8421438135996462,0.8602941176470589
overall_elo,ATP,Wimbledon,9,145,0.9309245094450409,0.9172413793103448
overall_elo,WTA,Australian Open,0,215,0.056844655739423336,0.06976744186046512
overall_elo,WTA,Australian Open,1,315,0.14978459318773804,0.16825396825396827
overall_elo,WTA,Australian Open,2,381,0.24945281559792185,0.32808398950131235
overall_elo,WTA,Australian Open,3,397,0.3502279118632256,0.3853904282115869
overall_elo,WTA,Australian Open,4,510,0.4503216207585207,0.4568627450980392
overall_elo,WTA,Australian Open,5,556,0.5505286315465784,0.5611510791366906
overall_elo,WTA,Australian Open,6,597,0.6519910951530987,0.644891122278057
overall_elo,WTA,Australian Open,7,602,0.7513419017377686,0.7275747508305648
overall_elo,WTA,Australian Open,8,681,0.8494536343234472,0.8193832599118943
overall_elo,WTA,Australian Open,9,568,0.9436777762811926,0.9471830985915493
overall_elo,WTA,Roland Garros,0,233,0.05649899502553665,0.09871244635193133
overall_elo,WTA,Roland Garros,1,353,0.15196116034187804,0.1529745042492918
overall_elo,WTA,Roland Garros,2,369,0.25145581452939053,0.24932249322493225
overall_elo,WTA,Roland Garros,3,399,0.3503774887173361,0.3483709273182957
overall_elo,WTA,Roland Garros,4,479,0.4503134104401488,0.4509394572025052
overall_elo,WTA,Roland Garros,5,593,0.5521655668195592,0.521079258010118
overall_elo,WTA,Roland Garros,6,607,0.6513371397870855,0.6013179571663921
overall_elo,WTA,Roland Garros,7,643,0.7505746500473288,0.6998444790046656
overall_elo,WTA,Roland Garros,8,629,0.8502922504333719,0.8012718600953895
overall_elo,WTA,Roland Garros,9,509,0.9447638651510109,0.9430255402750491
overall_elo,WTA,US Open,0,216,0.058591802746940314,0.032407407407407406
overall_elo,WTA,US Open,1,331,0.15113162096375624,0.13595166163141995
overall_elo,WTA,US Open,2,387,0.25202750259345924,0.26356589147286824
overall_elo,WTA,US Open,3,413,0.3515598633660879,0.33171912832929784
overall_elo,WTA,US Open,4,511,0.4515431858663489,0.4500978473581213
overall_elo,WTA,US Open,5,522,0.5532311141775811,0.5574712643678161
overall_elo,WTA,US Open,6,624,0.6508828503330453,0.6714743589743589
overall_elo,WTA,US Open,7,586,0.7502479178512033,0.7098976109215017
overall_elo,WTA,US Open,8,674,0.8511308297949433,0.8353115727002968
overall_elo,WTA,US Open,9,546,0.9444271237614859,0.9413919413919414
overall_elo,WTA,Wimbledon,0,205,0.05705751033863734,0.05365853658536585
overall_elo,WTA,Wimbledon,1,318,0.15066933309671143,0.1918238993710692
overall_elo,WTA,Wimbledon,2,366,0.25305508108713887,0.25136612021857924
overall_elo,WTA,Wimbledon,3,412,0.3494816806547173,0.3470873786407767
overall_elo,WTA,Wimbledon,4,477,0.4520816774655293,0.4863731656184486
overall_elo,WTA,Wimbledon,5,505,0.5505923792573402,0.5524752475247525
overall_elo,WTA,Wimbledon,6,619,0.6487691703192551,0.6090468497576736
overall_elo,WTA,Wimbledon,7,635,0.7510658406227854,0.7417322834645669
overall_elo,WTA,Wimbledon,8,638,0.850843139396602,0.8213166144200627
overall_elo,WTA,Wimbledon,9,516,0.9465742998774137,0.9069767441860465
surface_adjusted_elo,ATP,Australian Open,0,107,0.07119050610935651,0.028037383177570093
surface_adjusted_elo,ATP,Australian Open,1,317,0.15668646776307807,0.056782334384858045
surface_adjusted_elo,ATP,Australian Open,2,493,0.2521982246055373,0.17849898580121704
surface_adjusted_elo,ATP,Australian Open,3,576,0.3525020254657521,0.2638888888888889
surface_adjusted_elo,ATP,Australian Open,4,775,0.45257851893687767,0.44129032258064516
