figure_version,panel,tour,slam,model,sample,period,window_start_year,window_end_year,metric,value,ci_lower,ci_upper,score_matches,source_artifact
slam-upsets-final-v1,long_run_actual_expected,ATP,Australian Open,surface_adjusted_elo,maximum_available,1988-2025,,,expected_per_100,31.537499182083696,31.017814521327207,32.06400801838664,4639,artifacts/slam_upsets/upset_summary.csv
slam-upsets-final-v1,long_run_actual_expected,ATP,Australian Open,surface_adjusted_elo,maximum_available,1988-2025,,,actual_per_100,27.915499029963353,26.59605405031046,29.3486502253872,4639,artifacts/slam_upsets/upset_summary.csv
slam-upsets-final-v1,long_run_actual_expected,ATP,Roland Garros,surface_adjusted_elo,maximum_available,1988-2025,,,expected_per_100,31.866907030382848,31.332767200530057,32.36848386063177,4663,artifacts/slam_upsets/upset_summary.csv
slam-upsets-final-v1,long_run_actual_expected,ATP,Roland Garros,surface_adjusted_elo,maximum_available,1988-2025,,,actual_per_100,28.405921476078092,26.648079586182927,30.237268638627803,4663,artifacts/slam_upsets/upset_summary.csv
slam-upsets-final-v1,long_run_actual_expected,ATP,Wimbledon,surface_adjusted_elo,maximum_available,1988-2025,,,expected_per_100,33.10778004467746,32.554215068595106,33.61967037676876,4562,artifacts/slam_upsets/upset_summary.csv
slam-upsets-final-v1,long_run_actual_expected,ATP,Wimbledon,surface_adjusted_elo,maximum_available,1988-2025,,,actual_per_100,28.737395879000438,27.34505978621139,30.109334692935565,4562,artifacts/slam_upsets/upset_summary.csv
slam-upsets-final-v1,long_run_actual_expected,ATP,US Open,surface_adjusted_elo,maximum_available,1988-2025,,,expected_per_100,31.70960789906051,31.121253928924098,32.27327817249885,4589,artifacts/slam_upsets/upset_summary.csv
slam-upsets-final-v1,long_run_actual_expected,ATP,US Open,surface_adjusted_elo,maximum_available,1988-2025,,,actual_per_100,27.141922825376064,25.80203857613298,28.438040029367787,4589,artifacts/slam_upsets/upset_summary.csv
slam-upsets-final-v1,long_run_actual_expected,WTA,Australian Open,surface_adjusted_elo,maximum_available,1988-2025,,,expected_per_100,26.80926607092982,26.32748107007511,27.261350078664027,4763,artifacts/slam_upsets/upset_summary.csv
slam-upsets-final-v1,long_run_actual_expected,WTA,Australian Open,surface_adjusted_elo,maximum_available,1988-2025,,,actual_per_100,27.692630694940163,26.384466147812123,29.115267790821566,4763,artifacts/slam_upsets/upset_summary.csv
