analysis_version,sample,variant_label,comparison_model,difference_direction,market_brier_better,market_log_loss_better,market_proper_score_advantage_both,bootstrap_seed,tour,slam,score_matches,paired_upset_matches,paired_upset_exclusions_due_to_either_tie,primary_exact_ties,variant_exact_ties,ties_created,ties_removed,editions,bootstrap_unit,bootstrap_replicates,expected_per_100,expected_per_100_ci_lower,expected_per_100_ci_upper,actual_per_100,actual_per_100_ci_lower,actual_per_100_ci_upper,excess_per_100,excess_per_100_ci_lower,excess_per_100_ci_upper,brier_score,brier_score_ci_lower,brier_score_ci_upper,log_loss,log_loss_ci_lower,log_loss_ci_upper
market-probability-sensitivities-v1,primary_completed_non_retirement,proportional_primary_hierarchy_mean,market_odds,variant market minus comparison model,False,False,False,16413241396458572949,ATP,Australian Open,2958,2958,0,0,0,0,0,25,tour-Slam edition,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
market-probability-sensitivities-v1,primary_completed_non_retirement,proportional_primary_hierarchy_mean,market_odds,variant market minus comparison model,False,False,False,2795669534036895292,ATP,Roland Garros,3036,3035,1,1,1,0,0,25,tour-Slam edition,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
market-probability-sensitivities-v1,primary_completed_non_retirement,proportional_primary_hierarchy_mean,market_odds,variant market minus comparison model,False,False,False,15969985266059865306,ATP,Wimbledon,2933,2930,3,3,3,0,0,24,tour-Slam edition,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
market-probability-sensitivities-v1,primary_completed_non_retirement,proportional_primary_hierarchy_mean,market_odds,variant market minus comparison model,False,False,False,16396331838219715631,ATP,US Open,2992,2987,5,5,5,0,0,25,tour-Slam edition,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
market-probability-sensitivities-v1,primary_completed_non_retirement,proportional_primary_hierarchy_mean,market_odds,variant market minus comparison model,False,False,False,6385928097260434720,WTA,Australian Open,2382,2380,2,2,2,0,0,19,tour-Slam edition,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
market-probability-sensitivities-v1,primary_completed_non_retirement,proportional_primary_hierarchy_mean,market_odds,variant market minus comparison model,False,False,False,16563137086951889691,WTA,Roland Garros,2368,2365,3,3,3,0,0,19,tour-Slam edition,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
market-probability-sensitivities-v1,primary_completed_non_retirement,proportional_primary_hierarchy_mean,market_odds,variant market minus comparison model,False,False,False,2477922543991955713,WTA,Wimbledon,2242,2241,1,1,1,0,0,18,tour-Slam edition,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
market-probability-sensitivities-v1,primary_completed_non_retirement,proportional_primary_hierarchy_mean,market_odds,variant market minus comparison model,False,False,False,16154007778543522317,WTA,US Open,2375,2371,4,4,4,0,0,19,tour-Slam edition,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
market-probability-sensitivities-v1,primary_completed_non_retirement,proportional_primary_hierarchy_mean,overall_elo,variant market minus comparison model,True,True,True,17086323283911883495,ATP,Australian Open,2958,2958,0,0,0,0,0,25,tour-Slam edition,2000,-3.358006472805236,-3.9455986048076164,-2.75054803674524,-2.839756592292089,-4.142815288195203,-1.4514301039331436,0.5182498805131466,-0.6965377776155391,1.802783845219435,-0.014924454476712147,-0.017880830862342028,-0.011687819762120289,-0.03820041535227594,-0.045260858806160514,-0.030482230240305518
market-probability-sensitivities-v1,primary_completed_non_retirement,proportional_primary_hierarchy_mean,overall_elo,variant market minus comparison model,True,True,True,543762123089606954,ATP,Roland Garros,3036,3033,3,2,1,1,2,25,tour-Slam edition,2000,-3.4514234005331557,-4.096578040896677,-2.7418169177974967,-4.549950544015825,-6.095087465089404,-3.0122226808107646,-1.0985271434826698,-2.843384850444603,0.6232933661460888,-0.020624498189214427,-0.02489644835573747,-0.016110507509936058,-0.04924574574686219,-0.059000078383290126,-0.03894322314753477
market-probability-sensitivities-v1,primary_completed_non_retirement,proportional_primary_hierarchy_mean,overall_elo,variant market minus comparison model,True,True,True,6280427613128420632,ATP,Wimbledon,2933,2930,3,0,3,3,0,24,tour-Slam edition,2000,-2.971310232099611,-3.673759340254329,-2.2916014898925257,-5.221843003412969,-7.054925339662486,-3.3138038677485837,-2.2505327713133583,-4.35562164142239,-0.09833493793700318,-0.02326757495664179,-0.028290868787914012,-0.018357436638673206,-0.05600993453952696,-0.06672338857705028,-0.045637823462805684
market-probability-sensitivities-v1,primary_completed_non_retirement,proportional_primary_hierarchy_mean,overall_elo,variant market minus comparison model,True,True,True,5731355219401258891,ATP,US Open,2992,2986,6,1,5,5,1,25,tour-Slam edition,2000,-3.3810964293613,-4.048928363531204,-2.7624171254673806,-2.3107836570663096,-3.41840273714118,-1.237334530602787,1.0703127722949906,-0.1193902277884521,2.295565532632757,-0.011739721743186684,-0.015109505220777204,-0.008805695798496889,-0.028196956262868927,-0.03596924726937041,-0.021141937620246052
market-probability-sensitivities-v1,primary_completed_non_retirement,proportional_primary_hierarchy_mean,overall_elo,variant market minus comparison model,True,True,True,14023659089150369396,WTA,Australian Open,2382,2380,2,0,2,2,0,19,tour-Slam edition,2000,1.5120205392910275,1.045947786256461,1.9619486461323699,-1.8067226890756305,-3.0672268907563027,-0.5487547488391726,-3.318743228366658,-4.574100194911702,-2.0961019405984085,-0.012727387818184917,-0.016322508042813624,-0.00912835157532613,-0.028944642978237463,-0.03820454942193444,-0.019937394054428004
market-probability-sensitivities-v1,primary_completed_non_retirement,proportional_primary_hierarchy_mean,overall_elo,variant market minus comparison model,True,True,True,5974608849486587139,WTA,Roland Garros,2368,2365,3,0,3,3,0,19,tour-Slam edition,2000,1.2020165039922537,0.8371331533747727,1.5370230622329042,-2.7906976744186047,-4.892605397996055,-0.929761056130054,-3.9927141784108584,-5.983432883271899,-2.180540710107064,-0.01681341928404795,-0.020358921653687485,-0.013300840541733349,-0.04006484055866846,-0.04915550640297431,-0.03092298081111654
market-probability-sensitivities-v1,primary_completed_non_retirement,proportional_primary_hierarchy_mean,overall_elo,variant market minus comparison model,True,True,True,14686323629232532200,WTA,Wimbledon,2242,2241,1,0,1,1,0,18,tour-Slam edition,2000,1.3104787869339367,0.8720317418000242,1.717878085717534,-3.078982597054886,-4.373145402811185,-1.608525253830335,-4.389461383988823,-5.922083079699137,-2.661600307130012,-0.013899917620028235,-0.018961431625110187,-0.008885834196315497,-0.03519013944368539,-0.04766627101961964,-0.02277497679571544
market-probability-sensitivities-v1,primary_completed_non_retirement,proportional_primary_hierarchy_mean,overall_elo,variant market minus comparison model,True,True,True,16791413037615195975,WTA,US Open,2375,2371,4,0,4,4,0,19,tour-Slam edition,2000,0.7766717122104007,0.443049926953589,1.1207551671315956,-2.2775200337410375,-3.577478734715577,-0.925375414838413,-3.0541917459514383,-4.300572555309041,-1.6712897970557707,-0.01159414305655575,-0.016555240849811116,-0.006783104614228831,-0.0275963964565529,-0.03984485245446407,-0.015910344272344886
market-probability-sensitivities-v1,primary_completed_non_retirement,proportional_primary_hierarchy_mean,surface_adjusted_elo,variant market minus comparison model,True,True,True,1031717785874275410,ATP,Australian Open,2958,2958,0,0,0,0,0,25,tour-Slam edition,2000,-3.8146972836119795,-4.3543682409045354,-3.2431721757266128,-2.704530087897228,-3.9625241007468803,-1.3629415281618606,1.1101671957147516,-0.1561999359706301,2.436304514149851,-0.014759533819985573,-0.0174761443763881,-0.01171176090363341,-0.03830456612329624,-0.04494225532866464,-0.03101035993689071
market-probability-sensitivities-v1,primary_completed_non_retirement,proportional_primary_hierarchy_mean,surface_adjusted_elo,variant market minus comparison model,True,True,True,2236275031407772261,ATP,Roland Garros,3036,3033,3,2,1,1,2,25,tour-Slam edition,2000,-4.623064799073337,-5.255758747873678,-3.9351784513375305,-4.187273326739202,-5.68002155096949,-2.6341351260308996,0.4357914723341351,-1.2803486982220849,2.2243733970070103,-0.018218441815366613,-0.021734192800545355,-0.014619054821202465,-0.044814513382103884,-0.052989947152750544,-0.036257795540262434
market-probability-sensitivities-v1,primary_completed_non_retirement,proportional_primary_hierarchy_mean,surface_adjusted_elo,variant market minus comparison model,True,True,True,17299298452374924017,ATP,Wimbledon,2933,2930,3,0,3,3,0,24,tour-Slam edition,2000,-5.4182882493376825,-6.023652954899542,-4.7334486519434815,-4.6416382252559725,-6.534637706328604,-2.7387646537933312,0.7766500240817094,-1.373746170245044,2.906451276740924,-0.022591167426748153,-0.026810224975844833,-0.018636293805684236,-0.055617509018841625,-0.06454634340980595,-0.046858069637288995
market-probability-sensitivities-v1,primary_completed_non_retirement,proportional_primary_hierarchy_mean,surface_adjusted_elo,variant market minus comparison model,True,True,True,14421361568435913814,ATP,US Open,2992,2986,6,1,5,5,1,25,tour-Slam edition,2000,-4.087555866914219,-4.715883227473168,-3.4950716045341763,-2.143335565974548,-3.552308591401319,-0.9029949430365032,1.944220300939671,0.6163193062668505,3.2120854253383344,-0.011416293460048556,-0.014687788234113854,-0.008560471136052966,-0.028078257675314973,-0.03547476367069248,-0.021577191988298234
market-probability-sensitivities-v1,primary_completed_non_retirement,proportional_primary_hierarchy_mean,surface_adjusted_elo,variant market minus comparison model,True,True,True,11422515962391544416,WTA,Australian Open,2382,2380,2,0,2,2,0,19,tour-Slam edition,2000,1.1676483209046633,0.6859847542239896,1.6199938529253495,-1.6806722689075633,-2.8572330067912732,-0.37846532474543343,-2.8483205898122264,-4.117664722799154,-1.529685726333065,-0.011953868912031694,-0.01548537540768669,-0.008343013896142806,-0.027119686843659167,-0.036244328184841024,-0.01777888385168979
market-probability-sensitivities-v1,primary_completed_non_retirement,proportional_primary_hierarchy_mean,surface_adjusted_elo,variant market minus comparison model,True,True,True,17537465696424338052,WTA,Roland Garros,2368,2365,3,0,3,3,0,19,tour-Slam edition,2000,-0.07933425480205014,-0.39240833229970185,0.21131579655584778,-2.6215644820295982,-4.424918785706285,-0.9259934217495965,-2.5422302272275483,-4.247092856943863,-0.9027969079839144,-0.01544222358114832,-0.01820844617005765,-0.012715744147691992,-0.036605655575158956,-0.04366361021153417,-0.029304072523913222
market-probability-sensitivities-v1,primary_completed_non_retirement,proportional_primary_hierarchy_mean,surface_adjusted_elo,variant market minus comparison model,True,True,True,406167244164337151,WTA,Wimbledon,2242,2241,1,0,1,1,0,18,tour-Slam edition,2000,-1.0146177033343657,-1.4975438649745274,-0.5603142322928449,-2.4096385542168672,-3.789694426310426,-1.0263046538957137,-1.3950208508825017,-3.1111638009555604,0.3891275337888474,-0.011569643346034806,-0.015617011253993346,-0.007449129295039874,-0.028252913304474547,-0.0376253337344376,-0.018780262287560696
market-probability-sensitivities-v1,primary_completed_non_retirement,proportional_primary_hierarchy_mean,surface_adjusted_elo,variant market minus comparison model,True,True,True,12288642801285775527,WTA,US Open,2375,2371,4,0,4,4,0,19,tour-Slam edition,2000,0.46426096238543557,0.08960787700167927,0.8241713654514586,-2.6571067060312106,-3.998400708857744,-1.3894736842105262,-3.1213676684166463,-4.433172724876354,-1.8601817102892293,-0.011418628518113613,-0.016596012799655002,-0.006342190622128543,-0.027369857287727426,-0.04002185720304167,-0.014915756466291709
market-probability-sensitivities-v1,balanced_variant_common,proportional_primary_hierarchy_mean,market_odds,variant market minus comparison model,False,False,False,12653816152966664131,ATP,Australian Open,2958,2958,0,0,0,0,0,25,tour-Slam edition,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
market-probability-sensitivities-v1,balanced_variant_common,proportional_primary_hierarchy_mean,market_odds,variant market minus comparison model,False,False,False,2197471765351233719,ATP,Roland Garros,3036,3035,1,1,1,0,0,25,tour-Slam edition,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
market-probability-sensitivities-v1,balanced_variant_common,proportional_primary_hierarchy_mean,market_odds,variant market minus comparison model,False,False,False,3670041108992778515,ATP,Wimbledon,2933,2930,3,3,3,0,0,24,tour-Slam edition,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
