analysis_version,variant_label,policy_sha256,dimension,tour,slam,matched_source_rows,source_available_rows,source_unavailable_rows,primary_completed_non_retirement_rows,frozen_common_available_rows,frozen_common_lost_rows,all_variants_common_rows,source_method_counts_json,terminal_reason_counts_json,no_imputation,fuzzy_matches_accepted
market-probability-sensitivities-v1,proportional_primary_hierarchy_mean,676e29880fc4ae292b1eea8b032bc7791125ab459d149ceeac289eff0cc25649,all,,,22098,21970,128,21286,21286,0,21281,"{""bookmaker_consensus"":6227,""oddsportal_average"":15738,""single_book"":5}","{""no_complete_price_pair"":128}",True,0
market-probability-sensitivities-v1,proportional_primary_hierarchy_mean,676e29880fc4ae292b1eea8b032bc7791125ab459d149ceeac289eff0cc25649,tour_slam,ATP,Australian Open,3175,3087,88,2958,2958,0,2958,"{""bookmaker_consensus"":1183,""oddsportal_average"":1904}","{""no_complete_price_pair"":88}",True,0
market-probability-sensitivities-v1,proportional_primary_hierarchy_mean,676e29880fc4ae292b1eea8b032bc7791125ab459d149ceeac289eff0cc25649,tour_slam,ATP,Roland Garros,3175,3156,19,3036,3036,0,3035,"{""bookmaker_consensus"":1124,""oddsportal_average"":2031,""single_book"":1}","{""no_complete_price_pair"":19}",True,0
market-probability-sensitivities-v1,proportional_primary_hierarchy_mean,676e29880fc4ae292b1eea8b032bc7791125ab459d149ceeac289eff0cc25649,tour_slam,ATP,Wimbledon,3048,3043,5,2933,2933,0,2931,"{""bookmaker_consensus"":1136,""oddsportal_average"":1905,""single_book"":2}","{""no_complete_price_pair"":5}",True,0
market-probability-sensitivities-v1,proportional_primary_hierarchy_mean,676e29880fc4ae292b1eea8b032bc7791125ab459d149ceeac289eff0cc25649,tour_slam,ATP,US Open,3175,3163,12,2992,2992,0,2990,"{""bookmaker_consensus"":1131,""oddsportal_average"":2030,""single_book"":2}","{""no_complete_price_pair"":12}",True,0
market-probability-sensitivities-v1,proportional_primary_hierarchy_mean,676e29880fc4ae292b1eea8b032bc7791125ab459d149ceeac289eff0cc25649,tour_slam,WTA,Australian Open,2413,2412,1,2382,2382,0,2382,"{""bookmaker_consensus"":508,""oddsportal_average"":1904}","{""no_complete_price_pair"":1}",True,0
market-probability-sensitivities-v1,proportional_primary_hierarchy_mean,676e29880fc4ae292b1eea8b032bc7791125ab459d149ceeac289eff0cc25649,tour_slam,WTA,Roland Garros,2413,2411,2,2368,2368,0,2368,"{""bookmaker_consensus"":382,""oddsportal_average"":2029}","{""no_complete_price_pair"":2}",True,0
market-probability-sensitivities-v1,proportional_primary_hierarchy_mean,676e29880fc4ae292b1eea8b032bc7791125ab459d149ceeac289eff0cc25649,tour_slam,WTA,Wimbledon,2286,2285,1,2242,2242,0,2242,"{""bookmaker_consensus"":382,""oddsportal_average"":1903}","{""no_complete_price_pair"":1}",True,0
market-probability-sensitivities-v1,proportional_primary_hierarchy_mean,676e29880fc4ae292b1eea8b032bc7791125ab459d149ceeac289eff0cc25649,tour_slam,WTA,US Open,2413,2413,0,2375,2375,0,2375,"{""bookmaker_consensus"":381,""oddsportal_average"":2032}",{},True,0
market-probability-sensitivities-v1,power_primary_hierarchy_mean,5806e59f985aa35063e5321a4578be9e279faec27b09ef409289891d3efc2df4,all,,,22098,21970,128,21286,21286,0,21281,"{""bookmaker_consensus"":6227,""oddsportal_average"":15738,""single_book"":5}","{""no_complete_price_pair"":128}",True,0
market-probability-sensitivities-v1,power_primary_hierarchy_mean,5806e59f985aa35063e5321a4578be9e279faec27b09ef409289891d3efc2df4,tour_slam,ATP,Australian Open,3175,3087,88,2958,2958,0,2958,"{""bookmaker_consensus"":1183,""oddsportal_average"":1904}","{""no_complete_price_pair"":88}",True,0
market-probability-sensitivities-v1,power_primary_hierarchy_mean,5806e59f985aa35063e5321a4578be9e279faec27b09ef409289891d3efc2df4,tour_slam,ATP,Roland Garros,3175,3156,19,3036,3036,0,3035,"{""bookmaker_consensus"":1124,""oddsportal_average"":2031,""single_book"":1}","{""no_complete_price_pair"":19}",True,0
market-probability-sensitivities-v1,power_primary_hierarchy_mean,5806e59f985aa35063e5321a4578be9e279faec27b09ef409289891d3efc2df4,tour_slam,ATP,Wimbledon,3048,3043,5,2933,2933,0,2931,"{""bookmaker_consensus"":1136,""oddsportal_average"":1905,""single_book"":2}","{""no_complete_price_pair"":5}",True,0
market-probability-sensitivities-v1,power_primary_hierarchy_mean,5806e59f985aa35063e5321a4578be9e279faec27b09ef409289891d3efc2df4,tour_slam,ATP,US Open,3175,3163,12,2992,2992,0,2990,"{""bookmaker_consensus"":1131,""oddsportal_average"":2030,""single_book"":2}","{""no_complete_price_pair"":12}",True,0
market-probability-sensitivities-v1,power_primary_hierarchy_mean,5806e59f985aa35063e5321a4578be9e279faec27b09ef409289891d3efc2df4,tour_slam,WTA,Australian Open,2413,2412,1,2382,2382,0,2382,"{""bookmaker_consensus"":508,""oddsportal_average"":1904}","{""no_complete_price_pair"":1}",True,0
market-probability-sensitivities-v1,power_primary_hierarchy_mean,5806e59f985aa35063e5321a4578be9e279faec27b09ef409289891d3efc2df4,tour_slam,WTA,Roland Garros,2413,2411,2,2368,2368,0,2368,"{""bookmaker_consensus"":382,""oddsportal_average"":2029}","{""no_complete_price_pair"":2}",True,0
market-probability-sensitivities-v1,power_primary_hierarchy_mean,5806e59f985aa35063e5321a4578be9e279faec27b09ef409289891d3efc2df4,tour_slam,WTA,Wimbledon,2286,2285,1,2242,2242,0,2242,"{""bookmaker_consensus"":382,""oddsportal_average"":1903}","{""no_complete_price_pair"":1}",True,0
market-probability-sensitivities-v1,power_primary_hierarchy_mean,5806e59f985aa35063e5321a4578be9e279faec27b09ef409289891d3efc2df4,tour_slam,WTA,US Open,2413,2413,0,2375,2375,0,2375,"{""bookmaker_consensus"":381,""oddsportal_average"":2032}",{},True,0
market-probability-sensitivities-v1,additive_primary_hierarchy_mean,4f05567c79a3dc2142883029f541c9a7cfebec66917ba354d039f58cb40d31f9,all,,,22098,21970,128,21286,21286,0,21281,"{""bookmaker_consensus"":6227,""oddsportal_average"":15738,""single_book"":5}","{""no_complete_price_pair"":128}",True,0
market-probability-sensitivities-v1,additive_primary_hierarchy_mean,4f05567c79a3dc2142883029f541c9a7cfebec66917ba354d039f58cb40d31f9,tour_slam,ATP,Australian Open,3175,3087,88,2958,2958,0,2958,"{""bookmaker_consensus"":1183,""oddsportal_average"":1904}","{""no_complete_price_pair"":88}",True,0
market-probability-sensitivities-v1,additive_primary_hierarchy_mean,4f05567c79a3dc2142883029f541c9a7cfebec66917ba354d039f58cb40d31f9,tour_slam,ATP,Roland Garros,3175,3156,19,3036,3036,0,3035,"{""bookmaker_consensus"":1124,""oddsportal_average"":2031,""single_book"":1}","{""no_complete_price_pair"":19}",True,0
market-probability-sensitivities-v1,additive_primary_hierarchy_mean,4f05567c79a3dc2142883029f541c9a7cfebec66917ba354d039f58cb40d31f9,tour_slam,ATP,Wimbledon,3048,3043,5,2933,2933,0,2931,"{""bookmaker_consensus"":1136,""oddsportal_average"":1905,""single_book"":2}","{""no_complete_price_pair"":5}",True,0
market-probability-sensitivities-v1,additive_primary_hierarchy_mean,4f05567c79a3dc2142883029f541c9a7cfebec66917ba354d039f58cb40d31f9,tour_slam,ATP,US Open,3175,3163,12,2992,2992,0,2990,"{""bookmaker_consensus"":1131,""oddsportal_average"":2030,""single_book"":2}","{""no_complete_price_pair"":12}",True,0
market-probability-sensitivities-v1,additive_primary_hierarchy_mean,4f05567c79a3dc2142883029f541c9a7cfebec66917ba354d039f58cb40d31f9,tour_slam,WTA,Australian Open,2413,2412,1,2382,2382,0,2382,"{""bookmaker_consensus"":508,""oddsportal_average"":1904}","{""no_complete_price_pair"":1}",True,0
market-probability-sensitivities-v1,additive_primary_hierarchy_mean,4f05567c79a3dc2142883029f541c9a7cfebec66917ba354d039f58cb40d31f9,tour_slam,WTA,Roland Garros,2413,2411,2,2368,2368,0,2368,"{""bookmaker_consensus"":382,""oddsportal_average"":2029}","{""no_complete_price_pair"":2}",True,0
market-probability-sensitivities-v1,additive_primary_hierarchy_mean,4f05567c79a3dc2142883029f541c9a7cfebec66917ba354d039f58cb40d31f9,tour_slam,WTA,Wimbledon,2286,2285,1,2242,2242,0,2242,"{""bookmaker_consensus"":382,""oddsportal_average"":1903}","{""no_complete_price_pair"":1}",True,0
market-probability-sensitivities-v1,additive_primary_hierarchy_mean,4f05567c79a3dc2142883029f541c9a7cfebec66917ba354d039f58cb40d31f9,tour_slam,WTA,US Open,2413,2413,0,2375,2375,0,2375,"{""bookmaker_consensus"":381,""oddsportal_average"":2032}",{},True,0
market-probability-sensitivities-v1,proportional_primary_hierarchy_median,cdf71826b093fbcb3ee8806af91826ceeddcf5fd09fc83bfc9224eabcabea519,all,,,22098,21970,128,21286,21286,0,21281,"{""bookmaker_consensus"":6227,""oddsportal_average"":15738,""single_book"":5}","{""no_complete_price_pair"":128}",True,0
market-probability-sensitivities-v1,proportional_primary_hierarchy_median,cdf71826b093fbcb3ee8806af91826ceeddcf5fd09fc83bfc9224eabcabea519,tour_slam,ATP,Australian Open,3175,3087,88,2958,2958,0,2958,"{""bookmaker_consensus"":1183,""oddsportal_average"":1904}","{""no_complete_price_pair"":88}",True,0
market-probability-sensitivities-v1,proportional_primary_hierarchy_median,cdf71826b093fbcb3ee8806af91826ceeddcf5fd09fc83bfc9224eabcabea519,tour_slam,ATP,Roland Garros,3175,3156,19,3036,3036,0,3035,"{""bookmaker_consensus"":1124,""oddsportal_average"":2031,""single_book"":1}","{""no_complete_price_pair"":19}",True,0
market-probability-sensitivities-v1,proportional_primary_hierarchy_median,cdf71826b093fbcb3ee8806af91826ceeddcf5fd09fc83bfc9224eabcabea519,tour_slam,ATP,Wimbledon,3048,3043,5,2933,2933,0,2931,"{""bookmaker_consensus"":1136,""oddsportal_average"":1905,""single_book"":2}","{""no_complete_price_pair"":5}",True,0
market-probability-sensitivities-v1,proportional_primary_hierarchy_median,cdf71826b093fbcb3ee8806af91826ceeddcf5fd09fc83bfc9224eabcabea519,tour_slam,ATP,US Open,3175,3163,12,2992,2992,0,2990,"{""bookmaker_consensus"":1131,""oddsportal_average"":2030,""single_book"":2}","{""no_complete_price_pair"":12}",True,0
market-probability-sensitivities-v1,proportional_primary_hierarchy_median,cdf71826b093fbcb3ee8806af91826ceeddcf5fd09fc83bfc9224eabcabea519,tour_slam,WTA,Australian Open,2413,2412,1,2382,2382,0,2382,"{""bookmaker_consensus"":508,""oddsportal_average"":1904}","{""no_complete_price_pair"":1}",True,0
market-probability-sensitivities-v1,proportional_primary_hierarchy_median,cdf71826b093fbcb3ee8806af91826ceeddcf5fd09fc83bfc9224eabcabea519,tour_slam,WTA,Roland Garros,2413,2411,2,2368,2368,0,2368,"{""bookmaker_consensus"":382,""oddsportal_average"":2029}","{""no_complete_price_pair"":2}",True,0
market-probability-sensitivities-v1,proportional_primary_hierarchy_median,cdf71826b093fbcb3ee8806af91826ceeddcf5fd09fc83bfc9224eabcabea519,tour_slam,WTA,Wimbledon,2286,2285,1,2242,2242,0,2242,"{""bookmaker_consensus"":382,""oddsportal_average"":1903}","{""no_complete_price_pair"":1}",True,0
market-probability-sensitivities-v1,proportional_primary_hierarchy_median,cdf71826b093fbcb3ee8806af91826ceeddcf5fd09fc83bfc9224eabcabea519,tour_slam,WTA,US Open,2413,2413,0,2375,2375,0,2375,"{""bookmaker_consensus"":381,""oddsportal_average"":2032}",{},True,0
market-probability-sensitivities-v1,proportional_named_books_preferred_mean,ad24f6a0564c854b9d2b3c699d9a9675cfcb43d962c0ef9bda7060f45429c55a,all,,,22098,21965,133,21281,21281,5,21281,"{""named_book_consensus"":21911,""oddsportal_average_fallback"":54}","{""named_raw_minimum_not_met_and_avg_unavailable"":5,""no_complete_price_pair"":128}",True,0
market-probability-sensitivities-v1,proportional_named_books_preferred_mean,ad24f6a0564c854b9d2b3c699d9a9675cfcb43d962c0ef9bda7060f45429c55a,tour_slam,ATP,Australian Open,3175,3087,88,2958,2958,0,2958,"{""named_book_consensus"":3079,""oddsportal_average_fallback"":8}","{""no_complete_price_pair"":88}",True,0
market-probability-sensitivities-v1,proportional_named_books_preferred_mean,ad24f6a0564c854b9d2b3c699d9a9675cfcb43d962c0ef9bda7060f45429c55a,tour_slam,ATP,Roland Garros,3175,3155,20,3035,3035,1,3035,"{""named_book_consensus"":3146,""oddsportal_average_fallback"":9}","{""named_raw_minimum_not_met_and_avg_unavailable"":1,""no_complete_price_pair"":19}",True,0
market-probability-sensitivities-v1,proportional_named_books_preferred_mean,ad24f6a0564c854b9d2b3c699d9a9675cfcb43d962c0ef9bda7060f45429c55a,tour_slam,ATP,Wimbledon,3048,3041,7,2931,2931,2,2931,"{""named_book_consensus"":3033,""oddsportal_average_fallback"":8}","{""named_raw_minimum_not_met_and_avg_unavailable"":2,""no_complete_price_pair"":5}",True,0
