analysis_version,variant_label,policy_sha256,odds_row_id,match_id,tour,year,slam,round,source_file,source_row_number,source_workbook_sha256,unavailable_reason,complete_pair_count,complete_named_pair_count,valid_named_pair_count,pair_status_counts_json,named_pair_status_counts_json,avg_method_status,in_frozen_common,primary_completed_non_retirement,raw_prices_tracked
market-probability-sensitivities-v1,additive_primary_hierarchy_mean,4f05567c79a3dc2142883029f541c9a7cfebec66917ba354d039f58cb40d31f9,5a9d82f8196850ed5c60105efd379e3be3cbf4a4ac78cc075f54c592969fd290,4f6ac606c2de568bbd7374987bafd65c3b69cc53277f5efe3fba7ab6ec44ee4d,ATP,2001,Australian Open,F,atp/2001.xls,283,a3161067b946881e1a2b067ec5a78f078155b8177e17ae307084e7e3facca2fc,no_complete_price_pair,0,0,0,"{""missing_winner_odd;missing_loser_odd"":12}","{""missing_winner_odd;missing_loser_odd"":11}",missing_winner_odd;missing_loser_odd,False,True,False
market-probability-sensitivities-v1,additive_primary_hierarchy_mean,4f05567c79a3dc2142883029f541c9a7cfebec66917ba354d039f58cb40d31f9,61ffb8340d0fdfc61b2234143815ab6d74f4b639c9ce9f957264228bd4c2dc09,305929f8006b6fafc3e472bf2e8ced5d659d9336aae48de89d53d779e9bc80b5,ATP,2001,Australian Open,QF,atp/2001.xls,279,a3161067b946881e1a2b067ec5a78f078155b8177e17ae307084e7e3facca2fc,no_complete_price_pair,0,0,0,"{""missing_winner_odd;missing_loser_odd"":12}","{""missing_winner_odd;missing_loser_odd"":11}",missing_winner_odd;missing_loser_odd,False,True,False
market-probability-sensitivities-v1,additive_primary_hierarchy_mean,4f05567c79a3dc2142883029f541c9a7cfebec66917ba354d039f58cb40d31f9,596e8d3e24ca3eb0e74baebdde6b59dac133d393bd8f216a0634a13d9fd250e7,df1b3dc36a13b555a1620153b86f46f40051d3a0b1aac366fe96cf931aba02cd,ATP,2001,Australian Open,QF,atp/2001.xls,278,a3161067b946881e1a2b067ec5a78f078155b8177e17ae307084e7e3facca2fc,no_complete_price_pair,0,0,0,"{""missing_winner_odd;missing_loser_odd"":12}","{""missing_winner_odd;missing_loser_odd"":11}",missing_winner_odd;missing_loser_odd,False,True,False
market-probability-sensitivities-v1,additive_primary_hierarchy_mean,4f05567c79a3dc2142883029f541c9a7cfebec66917ba354d039f58cb40d31f9,c2b8f07391c519c04f7ee3b4066f42e8aa7c3ae6c18efbc6dff3771ef6dcf58d,03890036a771ff8efad703ad15e73a4be92ea95c8fddbf52d07321865adcd2dc,ATP,2001,Australian Open,R128,atp/2001.xls,177,a3161067b946881e1a2b067ec5a78f078155b8177e17ae307084e7e3facca2fc,no_complete_price_pair,0,0,0,"{""missing_winner_odd;missing_loser_odd"":12}","{""missing_winner_odd;missing_loser_odd"":11}",missing_winner_odd;missing_loser_odd,False,True,False
market-probability-sensitivities-v1,additive_primary_hierarchy_mean,4f05567c79a3dc2142883029f541c9a7cfebec66917ba354d039f58cb40d31f9,cec0467d0a83498e68389d09ba7fd9ef2de0d036366550771218b9769b201086,08c22b74f38a7d652ef36f6d74ba479af15dad5a12bdd3cb6a7646844dd59155,ATP,2001,Australian Open,R128,atp/2001.xls,191,a3161067b946881e1a2b067ec5a78f078155b8177e17ae307084e7e3facca2fc,no_complete_price_pair,0,0,0,"{""missing_winner_odd;missing_loser_odd"":12}","{""missing_winner_odd;missing_loser_odd"":11}",missing_winner_odd;missing_loser_odd,False,True,False
market-probability-sensitivities-v1,additive_primary_hierarchy_mean,4f05567c79a3dc2142883029f541c9a7cfebec66917ba354d039f58cb40d31f9,c36f047835ab2b1611c31a2dd49c3aae7e37bae00579cec91280da2fbc104b09,099fe077d637ff06ef2baf29f0cce93b1221a706435ae37034edf65f2454181b,ATP,2001,Australian Open,R128,atp/2001.xls,203,a3161067b946881e1a2b067ec5a78f078155b8177e17ae307084e7e3facca2fc,no_complete_price_pair,0,0,0,"{""missing_winner_odd;missing_loser_odd"":12}","{""missing_winner_odd;missing_loser_odd"":11}",missing_winner_odd;missing_loser_odd,False,True,False
market-probability-sensitivities-v1,additive_primary_hierarchy_mean,4f05567c79a3dc2142883029f541c9a7cfebec66917ba354d039f58cb40d31f9,48da34b8a8ed0c4ff49d91bc06823096904183980aff05860405d3216b2517dd,0b7717432f742ec7d737f3b00ece4785195c1efed28469b32a48e68de8e924c0,ATP,2001,Australian Open,R128,atp/2001.xls,170,a3161067b946881e1a2b067ec5a78f078155b8177e17ae307084e7e3facca2fc,no_complete_price_pair,0,0,0,"{""missing_winner_odd;missing_loser_odd"":12}","{""missing_winner_odd;missing_loser_odd"":11}",missing_winner_odd;missing_loser_odd,False,True,False
market-probability-sensitivities-v1,additive_primary_hierarchy_mean,4f05567c79a3dc2142883029f541c9a7cfebec66917ba354d039f58cb40d31f9,3b660b948dbcef08601522ce64d4d5b773319647ce489f388992a5c0208c8e22,0e4bd811c28482df51e897e67b65fc048617150027cefe73a09b5b2280df626c,ATP,2001,Australian Open,R128,atp/2001.xls,176,a3161067b946881e1a2b067ec5a78f078155b8177e17ae307084e7e3facca2fc,no_complete_price_pair,0,0,0,"{""missing_winner_odd;missing_loser_odd"":12}","{""missing_winner_odd;missing_loser_odd"":11}",missing_winner_odd;missing_loser_odd,False,True,False
market-probability-sensitivities-v1,additive_primary_hierarchy_mean,4f05567c79a3dc2142883029f541c9a7cfebec66917ba354d039f58cb40d31f9,079f72149a7debf15230682592e5285b2628145568b96fe72228c2e2e2c00622,10b201a2d162cb842d8bc7164c1ced7d95f30a7691decbfbc0ce83522102d2d2,ATP,2001,Australian Open,R128,atp/2001.xls,213,a3161067b946881e1a2b067ec5a78f078155b8177e17ae307084e7e3facca2fc,no_complete_price_pair,0,0,0,"{""missing_winner_odd;missing_loser_odd"":12}","{""missing_winner_odd;missing_loser_odd"":11}",missing_winner_odd;missing_loser_odd,False,True,False
market-probability-sensitivities-v1,additive_primary_hierarchy_mean,4f05567c79a3dc2142883029f541c9a7cfebec66917ba354d039f58cb40d31f9,841322733e64914949d11f861a20ff394da0a370fb4991cd9285992bb6e02a38,116df2fe16187dc2421da96c725ef2ed150a4cceb2d5ea3ab0d65431e0059f51,ATP,2001,Australian Open,R128,atp/2001.xls,192,a3161067b946881e1a2b067ec5a78f078155b8177e17ae307084e7e3facca2fc,no_complete_price_pair,0,0,0,"{""missing_winner_odd;missing_loser_odd"":12}","{""missing_winner_odd;missing_loser_odd"":11}",missing_winner_odd;missing_loser_odd,False,True,False
market-probability-sensitivities-v1,additive_primary_hierarchy_mean,4f05567c79a3dc2142883029f541c9a7cfebec66917ba354d039f58cb40d31f9,4cca8f9ba6c4a11429cf8f0d82f5c634b1c864433d8b64a19e0d3a404ad0168c,1808b80ff8f05915e355b9486f974a41297f4547b2d993ab916123282f581944,ATP,2001,Australian Open,R128,atp/2001.xls,188,a3161067b946881e1a2b067ec5a78f078155b8177e17ae307084e7e3facca2fc,no_complete_price_pair,0,0,0,"{""missing_winner_odd;missing_loser_odd"":12}","{""missing_winner_odd;missing_loser_odd"":11}",missing_winner_odd;missing_loser_odd,False,True,False
market-probability-sensitivities-v1,additive_primary_hierarchy_mean,4f05567c79a3dc2142883029f541c9a7cfebec66917ba354d039f58cb40d31f9,291d34149c91c14583c556a212c31a105ca6d92a71d978823b026c8fa750534b,19a7b557241817826f508c08fc3399e3f4b2c7e6e223f7cc774601a28b115fdd,ATP,2001,Australian Open,R128,atp/2001.xls,218,a3161067b946881e1a2b067ec5a78f078155b8177e17ae307084e7e3facca2fc,no_complete_price_pair,0,0,0,"{""missing_winner_odd;missing_loser_odd"":12}","{""missing_winner_odd;missing_loser_odd"":11}",missing_winner_odd;missing_loser_odd,False,True,False
market-probability-sensitivities-v1,additive_primary_hierarchy_mean,4f05567c79a3dc2142883029f541c9a7cfebec66917ba354d039f58cb40d31f9,da67f3821b38892d5a15d554bf4b7e0c86f91c386838346067ae8c1da7fa8489,1fb17d3737dc87465c4f1c290fdd837af3d08f613977dfd2030b54295ec6fa82,ATP,2001,Australian Open,R128,atp/2001.xls,212,a3161067b946881e1a2b067ec5a78f078155b8177e17ae307084e7e3facca2fc,no_complete_price_pair,0,0,0,"{""missing_winner_odd;missing_loser_odd"":12}","{""missing_winner_odd;missing_loser_odd"":11}",missing_winner_odd;missing_loser_odd,False,True,False
market-probability-sensitivities-v1,additive_primary_hierarchy_mean,4f05567c79a3dc2142883029f541c9a7cfebec66917ba354d039f58cb40d31f9,17740c3659effc5d9708e5cad8264741b1102a64c0530c7169a299549c310cfe,2cb4bd9c19cebf5b1d9b436517969a50dc944e0320553a95d517fd9771bb26b4,ATP,2001,Australian Open,R128,atp/2001.xls,162,a3161067b946881e1a2b067ec5a78f078155b8177e17ae307084e7e3facca2fc,no_complete_price_pair,0,0,0,"{""missing_winner_odd;missing_loser_odd"":12}","{""missing_winner_odd;missing_loser_odd"":11}",missing_winner_odd;missing_loser_odd,False,True,False
market-probability-sensitivities-v1,additive_primary_hierarchy_mean,4f05567c79a3dc2142883029f541c9a7cfebec66917ba354d039f58cb40d31f9,756494538d5a73ab9d4fb8a53ed9ddb0b3a4ea712f8434be9fd1ce12eb3389cd,348dca3171436bc0c7e82a891355b4466b13659fdf81a8fe6f2ae615bd0f7101,ATP,2001,Australian Open,R128,atp/2001.xls,184,a3161067b946881e1a2b067ec5a78f078155b8177e17ae307084e7e3facca2fc,no_complete_price_pair,0,0,0,"{""missing_winner_odd;missing_loser_odd"":12}","{""missing_winner_odd;missing_loser_odd"":11}",missing_winner_odd;missing_loser_odd,False,True,False
market-probability-sensitivities-v1,additive_primary_hierarchy_mean,4f05567c79a3dc2142883029f541c9a7cfebec66917ba354d039f58cb40d31f9,3e57dade82f6d7480f359a80caf75b4e115f3024e1c4de734cde74425a3cc48c,3af119add2ec3f2a2bcb4289841ddf7df5eb929da8aa2d3b7099a6d444a62bd9,ATP,2001,Australian Open,R128,atp/2001.xls,204,a3161067b946881e1a2b067ec5a78f078155b8177e17ae307084e7e3facca2fc,no_complete_price_pair,0,0,0,"{""missing_winner_odd;missing_loser_odd"":12}","{""missing_winner_odd;missing_loser_odd"":11}",missing_winner_odd;missing_loser_odd,False,True,False
market-probability-sensitivities-v1,additive_primary_hierarchy_mean,4f05567c79a3dc2142883029f541c9a7cfebec66917ba354d039f58cb40d31f9,5e0765f8ecaa81503e385cafe44fb64f5d0724dc16e4c51dbd5d4748d2ca0674,3b319359795de5381e12e2e4fa19ca3a650a2c535faa432b9cbb2b3d018380e0,ATP,2001,Australian Open,R128,atp/2001.xls,187,a3161067b946881e1a2b067ec5a78f078155b8177e17ae307084e7e3facca2fc,no_complete_price_pair,0,0,0,"{""missing_winner_odd;missing_loser_odd"":12}","{""missing_winner_odd;missing_loser_odd"":11}",missing_winner_odd;missing_loser_odd,False,True,False
market-probability-sensitivities-v1,additive_primary_hierarchy_mean,4f05567c79a3dc2142883029f541c9a7cfebec66917ba354d039f58cb40d31f9,ecd2078cae677e752bbfe8396ff879afc65233b055e633b3c2a23e930c22ffaa,3b340cf5add07382b20992e790c1c12300f879d199ba84942841acf8f50f638a,ATP,2001,Australian Open,R128,atp/2001.xls,199,a3161067b946881e1a2b067ec5a78f078155b8177e17ae307084e7e3facca2fc,no_complete_price_pair,0,0,0,"{""missing_winner_odd;missing_loser_odd"":12}","{""missing_winner_odd;missing_loser_odd"":11}",missing_winner_odd;missing_loser_odd,False,True,False
market-probability-sensitivities-v1,additive_primary_hierarchy_mean,4f05567c79a3dc2142883029f541c9a7cfebec66917ba354d039f58cb40d31f9,f9faddf93a19f7b5b5086014fe10c7d2ccbdd8a07e2528ac19e897efd69c8545,44badd9f7d3499ceb94765a9ad8c4f4fc1af297ff936726b07540ba69ea59933,ATP,2001,Australian Open,R128,atp/2001.xls,160,a3161067b946881e1a2b067ec5a78f078155b8177e17ae307084e7e3facca2fc,no_complete_price_pair,0,0,0,"{""missing_winner_odd;missing_loser_odd"":12}","{""missing_winner_odd;missing_loser_odd"":11}",missing_winner_odd;missing_loser_odd,False,True,False
market-probability-sensitivities-v1,additive_primary_hierarchy_mean,4f05567c79a3dc2142883029f541c9a7cfebec66917ba354d039f58cb40d31f9,0c64ad7d36e1994793b7711db2da235b600d0da98f388769d5d558bb01fb4b70,581f5167e622a765499124e379b25484ca2cb9b8ad17fc095b95df1f5d3c4f2f,ATP,2001,Australian Open,R128,atp/2001.xls,195,a3161067b946881e1a2b067ec5a78f078155b8177e17ae307084e7e3facca2fc,no_complete_price_pair,0,0,0,"{""missing_winner_odd;missing_loser_odd"":12}","{""missing_winner_odd;missing_loser_odd"":11}",missing_winner_odd;missing_loser_odd,False,True,False
market-probability-sensitivities-v1,additive_primary_hierarchy_mean,4f05567c79a3dc2142883029f541c9a7cfebec66917ba354d039f58cb40d31f9,23cc05747ed265837b6ccbb9131e3942d824600bf57d2eddcd729812ec0e8c6a,58b4c64dde843be2aaf6ca7c60752bbe492bcfb4bfeed84bba39c7dd07d54289,ATP,2001,Australian Open,R128,atp/2001.xls,182,a3161067b946881e1a2b067ec5a78f078155b8177e17ae307084e7e3facca2fc,no_complete_price_pair,0,0,0,"{""missing_winner_odd;missing_loser_odd"":12}","{""missing_winner_odd;missing_loser_odd"":11}",missing_winner_odd;missing_loser_odd,False,True,False
market-probability-sensitivities-v1,additive_primary_hierarchy_mean,4f05567c79a3dc2142883029f541c9a7cfebec66917ba354d039f58cb40d31f9,c084532ff22a2bb2046462627d6e6be16833ba600b139603d554032956c5d216,5d11210bc1d96148372820d43e0355c1eb9956438a70ef36cd3745fae7d787a5,ATP,2001,Australian Open,R128,atp/2001.xls,207,a3161067b946881e1a2b067ec5a78f078155b8177e17ae307084e7e3facca2fc,no_complete_price_pair,0,0,0,"{""missing_winner_odd;missing_loser_odd"":12}","{""missing_winner_odd;missing_loser_odd"":11}",missing_winner_odd;missing_loser_odd,False,True,False
market-probability-sensitivities-v1,additive_primary_hierarchy_mean,4f05567c79a3dc2142883029f541c9a7cfebec66917ba354d039f58cb40d31f9,31361bbdcaf6d86b3deda856011c7bbf7ce2abf6a6d6162c2e1c2785bb868db9,5d6bc6426c2664524617bce50a3be7a4d8cad0bb09dda30a003fc125db2efb9e,ATP,2001,Australian Open,R128,atp/2001.xls,205,a3161067b946881e1a2b067ec5a78f078155b8177e17ae307084e7e3facca2fc,no_complete_price_pair,0,0,0,"{""missing_winner_odd;missing_loser_odd"":12}","{""missing_winner_odd;missing_loser_odd"":11}",missing_winner_odd;missing_loser_odd,False,True,False
