robustness_version,odds_availability,tour,slam,dimension,group_value,score_matches,upset_matches,calibration_matches,expected_upsets,actual_upsets,excess_upsets,expected_per_100,actual_per_100,excess_per_100,standardized_excess,brier_score,log_loss,score_tournament_editions,upset_tournament_editions,calibration_tournament_editions
slam-robustness-v1,observed_probability,ATP,Australian Open,all,all,2958,2958,2958,909.5793344147437,777,-132.5793344147437,30.74980846567761,26.267748478701826,-4.482059986975784,-5.4815193880608,0.17326415555500116,0.5209037811699041,25,25,25
slam-robustness-v1,observed_probability,ATP,Roland Garros,all,all,3036,3034,3034,945.1475023354426,820,-125.1475023354426,31.151862305057435,27.027027027027025,-4.1248352780304085,-5.083123069971282,0.17708420933392122,0.5293585139121533,25,25,25
slam-robustness-v1,observed_probability,ATP,US Open,all,all,2992,2991,2991,927.8157361376748,806,-121.81573613767478,31.020251960470574,26.947509194249417,-4.072742766221157,-4.997659927506037,0.17805560077910404,0.5311987512893642,25,25,25
slam-robustness-v1,observed_probability,ATP,Wimbledon,all,all,2933,2933,2933,954.3254039372795,804,-150.32540393727948,32.53751803400203,27.41220593249233,-5.125312101509699,-6.113699693070879,0.18344539877020197,0.5462922583311964,24,24,24
slam-robustness-v1,observed_probability,WTA,Australian Open,all,all,2382,2382,2382,650.5809691450412,690,39.419030854958805,27.312383255459327,28.967254408060455,1.6548711526011253,1.898199210665691,0.18735984307323325,0.5521508246939039,19,19,19
slam-robustness-v1,observed_probability,WTA,Roland Garros,all,all,2368,2368,2368,678.4226680504912,711,32.57733194950879,28.64960591429439,30.02533783783784,1.3757319235434455,1.543736198648225,0.19224126310871528,0.5642973886820757,19,19,19
slam-robustness-v1,observed_probability,WTA,US Open,all,all,2375,2375,2375,663.1936437274741,677,13.806356272525932,27.923942893788382,28.505263157894735,0.581320264106355,0.6603802306039364,0.18654515375744263,0.5529388755921083,19,19,19
slam-robustness-v1,observed_probability,WTA,Wimbledon,all,all,2242,2242,2242,668.861988441982,686,17.13801155801798,29.8332733471,30.597680642283674,0.7644072951836743,0.8221501402047723,0.19569670368779626,0.5742403102048197,18,18,18
slam-robustness-v1,observed_probability,ATP,Australian Open,year,2001,58,58,58,19.318485841317106,16,-3.3184858413171057,33.30773420916742,27.586206896551722,-5.721527312615699,-0.9474842883928781,0.1869699948506577,0.5542233247645918,1,1,1
slam-robustness-v1,observed_probability,ATP,Australian Open,year,2002,114,114,114,38.63453043971478,34,-4.63453043971478,33.88993898220595,29.82456140350877,-4.065377578697175,-0.9412330878586096,0.19278139257539068,0.5711071577621181,1,1,1
