tour,slam,dimension,group_value,completed_non_retirement_matches,both_ranked_non_ties,lower_ranked_winner,both_seeded_non_ties,lower_seeded_winner,seed_order_non_ties,lower_seed_order_winner,lower_ranked_winner_per_100,lower_seeded_winner_per_100,lower_seed_order_winner_per_100,interpretation,robustness_version
ATP,Australian Open,all,all,4639,4607,1288,465,115,2688,540,27.957456045148685,24.731182795698924,20.089285714285715,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
ATP,Australian Open,era,1988-1999,1473,1455,456,60,14,596,120,31.34020618556701,23.333333333333332,20.13422818791946,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
ATP,Australian Open,era,2000-2009,1219,1216,337,133,36,752,165,27.713815789473685,27.06766917293233,21.94148936170213,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
ATP,Australian Open,era,2010-2019,1210,1207,292,176,40,838,153,24.192212096106047,22.727272727272727,18.257756563245824,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
ATP,Australian Open,era,2020-2025,737,729,203,96,25,502,102,27.84636488340192,26.041666666666668,20.318725099601593,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
ATP,Australian Open,round,F,37,37,9,32,9,37,9,24.324324324324323,28.125,24.324324324324323,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
ATP,Australian Open,round,QF,143,143,40,89,24,135,36,27.972027972027973,26.96629213483146,26.666666666666668,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
ATP,Australian Open,round,R128,2333,2311,687,0,0,936,152,29.72739073993942,,16.23931623931624,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
ATP,Australian Open,round,R16,293,292,76,134,32,261,62,26.027397260273972,23.880597014925375,23.754789272030653,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
ATP,Australian Open,round,R32,587,584,149,154,35,462,100,25.513698630136986,22.727272727272727,21.645021645021647,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
ATP,Australian Open,round,R64,1174,1168,308,0,0,786,162,26.36986301369863,,20.610687022900763,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
ATP,Australian Open,round,SF,72,72,19,56,15,71,19,26.38888888888889,26.785714285714285,26.760563380281692,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
ATP,Australian Open,seed_field_regime,observed_max_seed_1_16,1722,1703,521,73,19,699,141,30.59307105108632,26.027397260273972,20.17167381974249,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
ATP,Australian Open,seed_field_regime,observed_max_seed_above_16,2917,2904,767,392,96,1989,399,26.411845730027547,24.489795918367346,20.060331825037707,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
ATP,Roland Garros,all,all,4663,4650,1384,461,138,2684,582,29.763440860215052,29.934924078091107,21.684053651266765,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
ATP,Roland Garros,era,1988-1999,1488,1480,488,62,26,599,132,32.972972972972975,41.935483870967744,22.036727879799667,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
ATP,Roland Garros,era,2000-2009,1211,1209,377,133,45,752,178,31.182795698924732,33.83458646616541,23.670212765957448,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
ATP,Roland Garros,era,2010-2019,1226,1223,298,185,49,851,160,24.36631234668847,26.486486486486488,18.80141010575793,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
ATP,Roland Garros,era,2020-2025,738,738,221,81,18,482,112,29.94579945799458,22.22222222222222,23.236514522821576,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
ATP,Roland Garros,round,F,38,38,16,32,13,38,15,42.10526315789474,40.625,39.473684210526315,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
