analysis_version,sample,variant_label,parameter_mode,difference_direction,tour,slam,score_matches,paired_upset_matches,paired_upset_exclusions_due_to_either_tie,primary_exact_ties,variant_exact_ties,ties_created,ties_removed,editions,bootstrap_unit,bootstrap_replicates,expected_per_100,expected_per_100_ci_lower,expected_per_100_ci_upper,actual_per_100,actual_per_100_ci_lower,actual_per_100_ci_upper,excess_per_100,excess_per_100_ci_lower,excess_per_100_ci_upper,brier_score,brier_score_ci_lower,brier_score_ci_upper,log_loss,log_loss_ci_lower,log_loss_ci_upper
rating-history-sensitivities-v1,full_primary_1988_2025,probable_duplicates_current,fixed_primary,model_a minus model_b,ATP,Australian Open,4639,4639,0,0,0,0,0,38,tour-Slam edition,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rating-history-sensitivities-v1,full_primary_1988_2025,probable_duplicates_current,fixed_primary,model_a minus model_b,ATP,Roland Garros,4663,4661,2,2,2,0,0,38,tour-Slam edition,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rating-history-sensitivities-v1,full_primary_1988_2025,probable_duplicates_current,fixed_primary,model_a minus model_b,ATP,Wimbledon,4562,4562,0,0,0,0,0,37,tour-Slam edition,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rating-history-sensitivities-v1,full_primary_1988_2025,probable_duplicates_current,fixed_primary,model_a minus model_b,ATP,US Open,4589,4587,2,2,2,0,0,38,tour-Slam edition,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rating-history-sensitivities-v1,full_primary_1988_2025,probable_duplicates_current,fixed_primary,model_a minus model_b,WTA,Australian Open,4763,4763,0,0,0,0,0,38,tour-Slam edition,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rating-history-sensitivities-v1,full_primary_1988_2025,probable_duplicates_current,fixed_primary,model_a minus model_b,WTA,Roland Garros,4755,4755,0,0,0,0,0,38,tour-Slam edition,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rating-history-sensitivities-v1,full_primary_1988_2025,probable_duplicates_current,fixed_primary,model_a minus model_b,WTA,Wimbledon,4635,4635,0,0,0,0,0,37,tour-Slam edition,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rating-history-sensitivities-v1,full_primary_1988_2025,probable_duplicates_current,fixed_primary,model_a minus model_b,WTA,US Open,4758,4757,1,1,1,0,0,38,tour-Slam edition,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rating-history-sensitivities-v1,full_primary_1988_2025,probable_duplicates_keep_one,fixed_primary,model_a minus model_b,ATP,Australian Open,4639,4639,0,0,0,0,0,38,tour-Slam edition,2000,6.911904520124819e-07,-8.892829201409043e-06,1.4300920182528302e-05,0.0,0.0,0.0,-6.911904520124819e-07,-1.430092018252831e-05,8.892829201409036e-06,8.466312340135644e-08,-2.281210510862283e-08,2.747757122590171e-07,1.7505925670310821e-07,-6.079343848058703e-08,5.858087651240788e-07
rating-history-sensitivities-v1,full_primary_1988_2025,probable_duplicates_keep_one,fixed_primary,model_a minus model_b,ATP,Roland Garros,4663,4661,2,2,2,0,0,38,tour-Slam edition,2000,-5.614182921352709e-06,-1.037559329345585e-05,-1.7884002267664849e-06,0.0,0.0,0.0,5.614182921352709e-06,1.7884002267664849e-06,1.037559329345585e-05,4.8565366360319924e-08,3.881103682345736e-09,1.3533971560611252e-07,1.0837683248366314e-07,2.3607903142053966e-09,3.144571726329349e-07
rating-history-sensitivities-v1,full_primary_1988_2025,probable_duplicates_keep_one,fixed_primary,model_a minus model_b,ATP,Wimbledon,4562,4562,0,0,0,0,0,37,tour-Slam edition,2000,-8.729848671239941e-06,-2.034440327702974e-05,-1.5976772271901528e-06,0.0,0.0,0.0,8.729848671239941e-06,1.597677227190151e-06,2.0344403277029738e-05,-1.3360673192864027e-08,-3.619291555699863e-08,3.79345071394728e-09,-3.9459331548951994e-08,-9.95706562279619e-08,3.0357606204143965e-09
rating-history-sensitivities-v1,full_primary_1988_2025,probable_duplicates_keep_one,fixed_primary,model_a minus model_b,ATP,US Open,4589,4587,2,2,2,0,0,38,tour-Slam edition,2000,4.811913505059168e-07,-5.80429549076834e-06,1.014726248998882e-05,0.0,0.0,0.0,-4.811913505059168e-07,-1.014726248998882e-05,5.804295490768339e-06,-2.383143293861915e-08,-1.070970101819596e-07,3.2728018831374993e-08,-3.787235746753363e-08,-1.9690994678168345e-07,8.053578974187696e-08
rating-history-sensitivities-v1,full_primary_1988_2025,probable_duplicates_keep_one,fixed_primary,model_a minus model_b,WTA,Australian Open,4763,4763,0,0,0,0,0,38,tour-Slam edition,2000,0.0014391799855163175,0.00019229763979684427,0.003646257324245512,0.0,0.0,0.0,-0.0014391799855163175,-0.003646257324245513,-0.0001922976397968443,8.499563027689972e-06,-8.223965559160781e-06,3.402563173767838e-05,1.8512997063995977e-05,-1.622596941674718e-05,6.821641711864876e-05
rating-history-sensitivities-v1,full_primary_1988_2025,probable_duplicates_keep_one,fixed_primary,model_a minus model_b,WTA,Roland Garros,4755,4755,0,0,0,0,0,38,tour-Slam edition,2000,0.0013493753221137032,-0.001830028732077649,0.005542964708035834,-0.04206098843322818,-0.12628986695321762,0.0,-0.04341036375534189,-0.12844993961161355,0.0008624493346980379,-1.983932077317792e-05,-7.048703031345513e-05,2.1586178022329808e-05,-6.041539354861459e-05,-0.00020557775174028726,5.0159258453425516e-05
rating-history-sensitivities-v1,full_primary_1988_2025,probable_duplicates_keep_one,fixed_primary,model_a minus model_b,WTA,Wimbledon,4635,4635,0,0,0,0,0,37,tour-Slam edition,2000,8.7828553353966e-05,-0.0034000192109201804,0.002840594820748991,0.021574973031283712,0.0,0.06475320940448617,0.021487144477929748,-0.0028405948207489923,0.06825678880540248,3.5041836812752323e-05,-8.411534519412181e-06,0.00011388461300856459,7.399441350073171e-05,-1.8472820567536698e-05,0.0002409098481449067
rating-history-sensitivities-v1,full_primary_1988_2025,probable_duplicates_keep_one,fixed_primary,model_a minus model_b,WTA,US Open,4758,4757,1,1,1,0,0,38,tour-Slam edition,2000,0.0012148024132613464,-0.000602171961940282,0.0037298224498215405,-0.021021652301870926,-0.06319780914261638,0.0,-0.022236454715132272,-0.06440337150340378,-0.0004854798815680956,1.0599022649489473e-05,-5.24427658035455e-07,2.8250244543002258e-05,2.28266862158559e-05,-1.4043165413848784e-06,6.368909381139461e-05
rating-history-sensitivities-v1,full_primary_1988_2025,probable_duplicates_skip_all,fixed_primary,model_a minus model_b,ATP,Australian Open,4639,4639,0,0,0,0,0,38,tour-Slam edition,2000,9.48076745294491e-07,1.9970991922992842e-07,1.9816745258021383e-06,0.0,0.0,0.0,-9.48076745294491e-07,-1.9816745258021383e-06,-1.9970991922992853e-07,6.719928205947032e-09,9.531293415050466e-11,1.8540604365944193e-08,1.5317228650640094e-08,3.980253563796096e-10,4.1762961823443436e-08
rating-history-sensitivities-v1,full_primary_1988_2025,probable_duplicates_skip_all,fixed_primary,model_a minus model_b,ATP,Roland Garros,4663,4661,2,2,2,0,0,38,tour-Slam edition,2000,2.3904558915887256e-06,1.1000568148622553e-07,4.972701760488799e-06,0.0,0.0,0.0,-2.3904558915887256e-06,-4.972701760488802e-06,-1.1000568148622572e-07,7.095335611314226e-08,-4.356660374317514e-09,2.1947599555288568e-07,1.7958487385884352e-07,-6.3655170004192065e-09,5.481393731175387e-07
rating-history-sensitivities-v1,full_primary_1988_2025,probable_duplicates_skip_all,fixed_primary,model_a minus model_b,ATP,Wimbledon,4562,4562,0,0,0,0,0,37,tour-Slam edition,2000,9.937269245868818e-07,-1.0494013023642802e-06,2.833221372600466e-06,0.0,0.0,0.0,-9.937269245868818e-07,-2.8332213726004674e-06,1.0494013023642783e-06,-1.179802814555265e-08,-4.556998954528892e-08,6.756684380367213e-09,-3.317989314465365e-08,-1.2581313914024416e-07,1.7560508608052444e-08
rating-history-sensitivities-v1,full_primary_1988_2025,probable_duplicates_skip_all,fixed_primary,model_a minus model_b,ATP,US Open,4589,4587,2,2,2,0,0,38,tour-Slam edition,2000,5.234528201924345e-07,-3.0600943192585685e-07,1.6906444626889998e-06,0.0,0.0,0.0,-5.234528201924345e-07,-1.690644462689e-06,3.0600943192585664e-07,2.0347595423398476e-08,-4.105435468442032e-09,6.505020321151446e-08,4.902958451429372e-08,-5.80719969627991e-09,1.522762932073785e-07
rating-history-sensitivities-v1,full_primary_1988_2025,probable_duplicates_skip_all,fixed_primary,model_a minus model_b,WTA,Australian Open,4763,4763,0,0,0,0,0,38,tour-Slam edition,2000,0.001904049992851595,-0.001282017313216718,0.006332137545401993,0.0,-0.06297229219143577,0.06289308176100629,-0.001904049992851595,-0.06926355269750437,0.06421677071328301,1.9757164015693033e-05,-1.6385956704799566e-05,7.609597842781239e-05,4.269773681012924e-05,-3.1904060535968455e-05,0.00015060084783163953
