analysis_version,sample,variant_label,parameter_mode,tour,slam,start_year,end_year,score_matches,upset_matches,calibration_matches,expected_upsets,actual_upsets,excess_upsets,expected_per_100,actual_per_100,excess_per_100,standardized_excess,brier_score,log_loss,score_tournament_editions,upset_tournament_editions,calibration_tournament_editions,expected_per_100_ci_lower,expected_per_100_ci_upper,actual_per_100_ci_lower,actual_per_100_ci_upper,excess_per_100_ci_lower,excess_per_100_ci_upper,standardized_excess_ci_lower,standardized_excess_ci_upper,brier_score_ci_lower,brier_score_ci_upper,log_loss_ci_lower,log_loss_ci_upper,underdog_flips,ties_created,ties_removed,bootstrap_unit,bootstrap_replicates,bootstrap_seed
rating-history-sensitivities-v1,full_primary_1988_2025,probable_duplicates_current,fixed_primary,ATP,Australian Open,1988,2025,4639,4639,4639,1463.0245870568626,1295,-168.02458705686263,31.537499182083696,27.915499029963353,-3.622000152120341,-5.502078911998032,0.17963200005246546,0.5353601835677397,38,38,38,31.028799761372106,32.06193497331715,26.567542062220475,29.184752707355774,-4.780355815594314,-2.5122159274474676,-7.27022571178861,-3.813862227674293,0.17490133162900087,0.18437769633626286,0.5244696377903832,0.5463365702682761,0,0,0,tour-Slam tournament edition,2000,18307413587975416014
rating-history-sensitivities-v1,full_primary_1988_2025,probable_duplicates_current,fixed_primary,ATP,Roland Garros,1988,2025,4663,4661,4661,1485.3165366861447,1324,-161.31653668614467,31.866907030382848,28.405921476078092,-3.460985554304756,-5.242202196631322,0.18514838364425565,0.5484888766186106,38,38,38,31.316869205050512,32.3745801748767,26.59451385857704,30.152270672835463,-5.113177330585628,-1.825287005197722,-7.752013255622564,-2.7549245454051645,0.17825016251999243,0.19181570502360662,0.5325240787764173,0.5636564349340699,0,0,0,tour-Slam tournament edition,2000,10096972471445573474
rating-history-sensitivities-v1,full_primary_1988_2025,probable_duplicates_current,fixed_primary,ATP,US Open,1988,2025,4589,4587,4587,1454.5197143299056,1245,-209.51971432990558,31.70960789906051,27.141922825376064,-4.567685073684447,-6.887220232030537,0.1813084172994686,0.5394910492960932,38,38,38,31.14767751986586,32.23246122693503,25.84409713092185,28.484681032971167,-5.8108106930856955,-3.361359922350563,-8.754415377195054,-5.0752651972749305,0.17668587108085523,0.18595484686109254,0.5289195872796437,0.5502772802592756,0,0,0,tour-Slam tournament edition,2000,2675411715594197183
rating-history-sensitivities-v1,full_primary_1988_2025,probable_duplicates_current,fixed_primary,ATP,Wimbledon,1988,2025,4562,4562,4562,1510.3769256381859,1311,-199.37692563818587,33.10778004467746,28.737395879000438,-4.370384165677025,-6.465391451150045,0.18937259953551103,0.5597962414808608,37,37,37,32.56583177979333,33.62058743456828,27.408671228067377,30.081274273818604,-5.493731590186913,-3.2757792396795917,-8.134034828471657,-4.8441546114935505,0.18419414013941687,0.19465738301272645,0.5479218913523485,0.5719126779385985,0,0,0,tour-Slam tournament edition,2000,8184618307097289268
rating-history-sensitivities-v1,full_primary_1988_2025,probable_duplicates_current,fixed_primary,WTA,Australian Open,1988,2025,4763,4763,4763,1276.9253429583873,1319,42.07465704161268,26.80926607092982,27.692630694940163,0.883364624010344,1.4505554652663804,0.18222832044415155,0.5379122319656582,38,38,38,26.321491801966864,27.300102263849475,26.422545120114126,29.004692780900342,-0.36248529701132604,2.206109242762155,-0.5968032064347429,3.612846497603482,0.17673321947446452,0.1878149722004181,0.524153991003939,0.5515842895564264,0,0,0,tour-Slam tournament edition,2000,12944527187291537845
rating-history-sensitivities-v1,full_primary_1988_2025,probable_duplicates_current,fixed_primary,WTA,Roland Garros,1988,2025,4755,4755,4755,1314.0775832556035,1372,57.922416744396514,27.635701014839192,28.853838065194534,1.2181370503553421,1.9726705438761434,0.185294077317051,0.5476287473128981,38,38,38,27.127353729371677,28.197124869746375,27.17162654943247,30.539122537656993,-0.2768373433572679,2.6869099115788453,-0.44884891361685847,4.345188966025093,0.17762127455985832,0.19265018135214507,0.528824819384273,0.5658226691452118,0,0,0,tour-Slam tournament edition,2000,10872777931083615761
rating-history-sensitivities-v1,full_primary_1988_2025,probable_duplicates_current,fixed_primary,WTA,US Open,1988,2025,4758,4757,4757,1275.1333420408205,1249,-26.13334204082048,26.80540975490478,26.256043725036786,-0.5493660298679941,-0.9006686267306117,0.1745314131732147,0.5203984405158423,38,38,38,26.25477131156646,27.37901778475035,24.851959056289516,27.50577852490019,-1.8304628121017834,0.6196259208987778,-3.0148789966095952,1.0184884210354836,0.16844450909087516,0.1805382923678422,0.5044850856294877,0.53567681630431,0,0,0,tour-Slam tournament edition,2000,16147677352480159226
rating-history-sensitivities-v1,full_primary_1988_2025,probable_duplicates_current,fixed_primary,WTA,Wimbledon,1988,2025,4635,4635,4635,1327.8703275358419,1303,-24.870327535841852,28.64876650562766,28.112189859762676,-0.5365766458649807,-0.8451527938291142,0.18300211591896035,0.5427090161284726,37,37,37,28.035630648340838,29.285342944456595,26.52956506560382,29.728755120987998,-1.9682114601637652,0.8943584242000571,-3.1088901477720823,1.4056333641563616,0.17610391929093305,0.19040602915356292,0.5254378514367831,0.5609973780925968,0,0,0,tour-Slam tournament edition,2000,10652290985436234423
rating-history-sensitivities-v1,full_primary_1988_2025,probable_duplicates_keep_one,fixed_primary,ATP,Australian Open,1988,2025,4639,4639,4639,1463.0246191211866,1295,-168.02461912118656,31.537499873274122,27.915499029963353,-3.6220008433107687,-5.502080069146791,0.1796320847155888,0.5353603586269965,38,38,38,31.042670316531602,32.02953372969326,26.53878250299673,29.36997270573996,-4.846362377951562,-2.3956917150486827,-7.380490718506872,-3.6347629265731207,0.1747924156774571,0.18436864770641245,0.5241517664956221,0.5461856375066952,0,0,0,tour-Slam tournament edition,2000,3491304732838970449
rating-history-sensitivities-v1,full_primary_1988_2025,probable_duplicates_keep_one,fixed_primary,ATP,Roland Garros,1988,2025,4663,4661,4661,1485.3162750090785,1324,-161.31627500907848,31.866901416199923,28.405921476078092,-3.4609799401218293,-5.242193934030165,0.185148432209622,0.5484889849954431,38,38,38,31.329007140127743,32.36467615499555,26.629347645043083,30.24927358937534,-5.033549159595147,-1.856223346063624,-7.66005852877073,-2.815308882214358,0.17857848883007066,0.19188618516221126,0.5331991169904247,0.5642588051348889,0,0,0,tour-Slam tournament edition,2000,13807634201454876007
