analysis_version,sample,variant_label,parameter_mode,match_id,tour,year,slam,round,primary_player_1_probability,variant_player_1_probability,primary_underdog_side,variant_underdog_side,player_1_id,player_2_id,primary_underdog_player_id,variant_underdog_player_id,change_type
rating-history-sensitivities-v1,full_primary_1988_2025,probable_duplicates_keep_one,fixed_primary,1e957f1dfb988f86f83fcd6f0a11ca35505582d75b197f9d35d981ac957e5d16,WTA,1990,Wimbledon,R128,0.46514017719312795,0.524790546890532,player_1,player_2,200476,200616,200476,200616,flip
rating-history-sensitivities-v1,full_primary_1988_2025,probable_duplicates_keep_one,fixed_primary,55aabd8a6f7f7070a509e3019022b244cd2d47f42f8883797e468a6bdd844a7a,WTA,1991,Roland Garros,R128,0.4993574552963014,0.5009869508820016,player_1,player_2,200096,200573,200096,200573,flip
rating-history-sensitivities-v1,full_primary_1988_2025,probable_duplicates_keep_one,fixed_primary,c4ef51e6baf447a493b5391cc080de01699eaf358f4624d26498c1fb5fd70570,WTA,1991,Roland Garros,R128,0.5016397017753104,0.4694100305838663,player_2,player_1,200021,200634,200634,200021,flip
rating-history-sensitivities-v1,full_primary_1988_2025,probable_duplicates_keep_one,fixed_primary,c7eb8caf7ceeb8fd959d50572980fe261f8f3627910d73fbc561bc078c4b2af8,WTA,1991,US Open,R128,0.4975654976030701,0.5006771068059352,player_1,player_2,200080,200646,200080,200646,flip
rating-history-sensitivities-v1,full_primary_1988_2025,probable_duplicates_skip_all,fixed_primary,7b27f016d7f53aa85e147ae6c81c8b591316c7124f2bb4f6c1f07a06cd5907f7,WTA,1990,US Open,R128,0.578970809262467,0.48693549953270426,player_2,player_1,200021,200586,200586,200021,flip
rating-history-sensitivities-v1,full_primary_1988_2025,probable_duplicates_skip_all,fixed_primary,1e957f1dfb988f86f83fcd6f0a11ca35505582d75b197f9d35d981ac957e5d16,WTA,1990,Wimbledon,R128,0.46514017719312795,0.5842639175775883,player_1,player_2,200476,200616,200476,200616,flip
rating-history-sensitivities-v1,full_primary_1988_2025,probable_duplicates_skip_all,fixed_primary,3a59e11c3a62ec4a0c0f9f3fae2895896c6dc3b053ed403c2661334571894675,WTA,1990,Wimbledon,R64,0.42566303331626737,0.5450023119373293,player_1,player_2,200579,200616,200579,200616,flip
rating-history-sensitivities-v1,full_primary_1988_2025,probable_duplicates_skip_all,fixed_primary,1054818e5de2eab1dffffe214319eeb9582984d978f8cef46e36638d45563fb4,WTA,1991,Australian Open,R64,0.562333378027262,0.48259127675019453,player_2,player_1,200021,200570,200570,200021,flip
rating-history-sensitivities-v1,full_primary_1988_2025,probable_duplicates_skip_all,fixed_primary,55aabd8a6f7f7070a509e3019022b244cd2d47f42f8883797e468a6bdd844a7a,WTA,1991,Roland Garros,R128,0.4993574552963014,0.5026389699206778,player_1,player_2,200096,200573,200096,200573,flip
rating-history-sensitivities-v1,full_primary_1988_2025,probable_duplicates_skip_all,fixed_primary,c4ef51e6baf447a493b5391cc080de01699eaf358f4624d26498c1fb5fd70570,WTA,1991,Roland Garros,R128,0.5016397017753104,0.4368148916096416,player_2,player_1,200021,200634,200634,200021,flip
rating-history-sensitivities-v1,full_primary_1988_2025,probable_duplicates_skip_all,fixed_primary,c7eb8caf7ceeb8fd959d50572980fe261f8f3627910d73fbc561bc078c4b2af8,WTA,1991,US Open,R128,0.4975654976030701,0.5037900669182002,player_1,player_2,200080,200646,200080,200646,flip
rating-history-sensitivities-v1,full_primary_1988_2025,probable_duplicates_skip_all,fixed_primary,aa819fa3fdc646aa6f9d0a61c2805cd7e8b2ee5564dfbd897323d5b151e6703c,WTA,1991,US Open,R64,0.5077127935439938,0.4974772897939347,player_2,player_1,200453,200574,200574,200453,flip
rating-history-sensitivities-v1,full_primary_1988_2025,probable_duplicates_skip_all,fixed_primary,5359c34228ff1dbe886c393c2e0aafce12fe9143e88c91473beed0457a8504d3,WTA,1992,Australian Open,R64,0.4656430829904582,0.5047151964631544,player_1,player_2,200439,200627,200439,200627,flip
