analysis_version,variant_label,variant_family,parameter_mode,tour,policy_sha256,sensitivity_config_sha256,parameter_sha256,retirement_result_delta_multiplier,retirement_updates_participation,probable_duplicate_mode,probable_duplicate_representative_order,k_factor,initial_rating,surface_weight,initialization,inactivity_half_life_days,best_of_five_conversion,rating_scale
rating-history-sensitivities-v1,retirement_full_update,retirement,fixed_primary,ATP,ff2cc3b364cd1f1033208619accfd919048cc90b856d0fca0f42da666e74c673,3d5edcf48a2860a09f66167f2ce352cd8f5d949d98fdc26b11df0ac58ca0a528,6899c86f12d12884fcabb2bca5a821353541d455a893a49d508a8c559627ce6f,1.0,True,current,source_file;source_row_number;match_id,32.0,1500.0,0.25,fixed,1825,False,400.0
rating-history-sensitivities-v1,retirement_full_update,retirement,fixed_primary,WTA,ff2cc3b364cd1f1033208619accfd919048cc90b856d0fca0f42da666e74c673,3d5edcf48a2860a09f66167f2ce352cd8f5d949d98fdc26b11df0ac58ca0a528,6899c86f12d12884fcabb2bca5a821353541d455a893a49d508a8c559627ce6f,1.0,True,current,source_file;source_row_number;match_id,32.0,1500.0,0.25,fixed,,True,400.0
rating-history-sensitivities-v1,retirement_half_result_delta,retirement,fixed_primary,ATP,38d7fe7859d5bedcda01a0f92da57361655c61a07f384f4f7574109d94a3a3af,3d5edcf48a2860a09f66167f2ce352cd8f5d949d98fdc26b11df0ac58ca0a528,b0c63145d9caab0bbfc10bb1a134dcca0144b7a89a4542761027751b523c17a0,0.5,True,current,source_file;source_row_number;match_id,32.0,1500.0,0.25,fixed,1825,False,400.0
rating-history-sensitivities-v1,retirement_half_result_delta,retirement,fixed_primary,WTA,38d7fe7859d5bedcda01a0f92da57361655c61a07f384f4f7574109d94a3a3af,3d5edcf48a2860a09f66167f2ce352cd8f5d949d98fdc26b11df0ac58ca0a528,b0c63145d9caab0bbfc10bb1a134dcca0144b7a89a4542761027751b523c17a0,0.5,True,current,source_file;source_row_number;match_id,32.0,1500.0,0.25,fixed,,True,400.0
rating-history-sensitivities-v1,retirement_no_result_delta,retirement,fixed_primary,ATP,ad8c55d78d40f443da7439892d9b4d4c6d91fef8cc7c62f81f48bc72dffc0d30,3d5edcf48a2860a09f66167f2ce352cd8f5d949d98fdc26b11df0ac58ca0a528,55b285e54b8f7349b32f47d20b5cd6f8ba72f25e2cffb37827840a2088b24880,0.0,True,current,source_file;source_row_number;match_id,32.0,1500.0,0.25,fixed,1825,False,400.0
rating-history-sensitivities-v1,retirement_no_result_delta,retirement,fixed_primary,WTA,ad8c55d78d40f443da7439892d9b4d4c6d91fef8cc7c62f81f48bc72dffc0d30,3d5edcf48a2860a09f66167f2ce352cd8f5d949d98fdc26b11df0ac58ca0a528,55b285e54b8f7349b32f47d20b5cd6f8ba72f25e2cffb37827840a2088b24880,0.0,True,current,source_file;source_row_number;match_id,32.0,1500.0,0.25,fixed,,True,400.0
rating-history-sensitivities-v1,retirement_strict_skip,retirement,fixed_primary,ATP,a2ee06ab2fbf353fe7acc45be2196552b3492c0c710f0907ed08ec14b34561c6,3d5edcf48a2860a09f66167f2ce352cd8f5d949d98fdc26b11df0ac58ca0a528,593b7651a277f010615fe59053dd89b7f90b24b05e423ec9f86ebfcd0d267e72,0.0,False,current,source_file;source_row_number;match_id,32.0,1500.0,0.25,fixed,1825,False,400.0
rating-history-sensitivities-v1,retirement_strict_skip,retirement,fixed_primary,WTA,a2ee06ab2fbf353fe7acc45be2196552b3492c0c710f0907ed08ec14b34561c6,3d5edcf48a2860a09f66167f2ce352cd8f5d949d98fdc26b11df0ac58ca0a528,593b7651a277f010615fe59053dd89b7f90b24b05e423ec9f86ebfcd0d267e72,0.0,False,current,source_file;source_row_number;match_id,32.0,1500.0,0.25,fixed,,True,400.0
rating-history-sensitivities-v1,probable_duplicates_current,probable_duplicate,fixed_primary,ATP,ac77af2d2b64fda221cdbfcd33138a4087c1fd8ddc80bb5570025bdad6716dcb,3d5edcf48a2860a09f66167f2ce352cd8f5d949d98fdc26b11df0ac58ca0a528,57bca87204d2f8fb86d372cd97db0fc7981f05441f2f38df4f8505d54ae0fc11,1.0,True,current,source_file;source_row_number;match_id,32.0,1500.0,0.25,fixed,1825,False,400.0
rating-history-sensitivities-v1,probable_duplicates_current,probable_duplicate,fixed_primary,WTA,ac77af2d2b64fda221cdbfcd33138a4087c1fd8ddc80bb5570025bdad6716dcb,3d5edcf48a2860a09f66167f2ce352cd8f5d949d98fdc26b11df0ac58ca0a528,57bca87204d2f8fb86d372cd97db0fc7981f05441f2f38df4f8505d54ae0fc11,1.0,True,current,source_file;source_row_number;match_id,32.0,1500.0,0.25,fixed,,True,400.0
