analysis_version,sample,variant_label,parameter_mode,tour,contrast,start_year,end_year,calendar_years,bootstrap_unit,bootstrap_replicates,expected_per_100,expected_per_100_ci_lower,expected_per_100_ci_upper,actual_per_100,actual_per_100_ci_lower,actual_per_100_ci_upper,excess_per_100,excess_per_100_ci_lower,excess_per_100_ci_upper,brier_score,brier_score_ci_lower,brier_score_ci_upper,log_loss,log_loss_ci_lower,log_loss_ci_upper
rating-history-sensitivities-v1,full_primary_1988_2025,probable_duplicates_current,fixed_primary,ATP,"Wimbledon minus equal-weight mean of Australian Open, Roland Garros, and US Open",1988,2025,38,calendar year jointly across all four Slams,2000,1.4031086741685463,1.090890052165657,1.702495783799435,0.9162814351945983,-0.5596419222699986,2.3067941724178396,-0.48682723897394986,-1.9376569877269125,0.8494191439365059,0.0073429992034470815,0.002848309954034478,0.011616327058173033,0.01868287165338045,0.00815407189046402,0.028787971933328334
rating-history-sensitivities-v1,full_primary_1988_2025,probable_duplicates_keep_one,fixed_primary,ATP,"Wimbledon minus equal-weight mean of Australian Open, Roland Garros, and US Open",1988,2025,38,calendar year jointly across all four Slams,2000,1.4031014249201519,1.0947147815994351,1.7104656489013936,0.9162814351945983,-0.5280405366447402,2.311676648776416,-0.4868199897255545,-1.8864122072888936,0.8486610986964719,0.007342949377088875,0.00305407737112376,0.011484045658259018,0.018682750339469978,0.008798169947021544,0.0286061388542905
rating-history-sensitivities-v1,full_primary_1988_2025,probable_duplicates_skip_all,fixed_primary,ATP,"Wimbledon minus equal-weight mean of Australian Open, Roland Garros, and US Open",1988,2025,38,calendar year jointly across all four Slams,2000,1.4031083805669624,1.0919338740335711,1.7087888089248813,0.9162814351945983,-0.48663146813896174,2.2668613153555506,-0.48682694537236726,-1.8906616810503087,0.8223399622366486,0.007342954731793611,0.0030895982748392033,0.011476565082683835,0.018682757162923447,0.00875186897481273,0.02829207439789677
rating-history-sensitivities-v1,full_primary_1988_2025,retirement_full_update,fixed_primary,ATP,"Wimbledon minus equal-weight mean of Australian Open, Roland Garros, and US Open",1988,2025,38,calendar year jointly across all four Slams,2000,1.4031086741685463,1.0899154940654026,1.7162143047684704,0.9162814351945983,-0.5314477250047506,2.317770102165064,-0.48682723897394986,-1.8937583258408288,0.8979574341543463,0.0073429992034470815,0.003030100836874987,0.011650690976218465,0.01868287165338045,0.008674803740809159,0.02899715513470343
rating-history-sensitivities-v1,full_primary_1988_2025,retirement_half_result_delta,fixed_primary,ATP,"Wimbledon minus equal-weight mean of Australian Open, Roland Garros, and US Open",1988,2025,38,calendar year jointly across all four Slams,2000,1.413766299208902,1.0859227674686438,1.7245395646757822,1.0479548522051267,-0.27608656033157775,2.456338404347293,-0.3658114470037721,-1.652640353930219,1.0222612125661326,0.007140956157905748,0.0029898194854565347,0.011451973639783038,0.018237277144995012,0.008565517897703373,0.0282322982835099
rating-history-sensitivities-v1,full_primary_1988_2025,retirement_no_result_delta,fixed_primary,ATP,"Wimbledon minus equal-weight mean of Australian Open, Roland Garros, and US Open",1988,2025,38,calendar year jointly across all four Slams,2000,1.4240664620525756,1.1037872867032406,1.7461959394612199,0.8348942245478739,-0.45452940449508583,2.124408578900832,-0.5891722375047066,-1.8155425022742226,0.6868729326577868,0.006912475592439321,0.0028176296678215965,0.011168572426569563,0.017731479389929694,0.008017310899298441,0.02755518171145372
rating-history-sensitivities-v1,full_primary_1988_2025,retirement_no_result_delta,reselected_policy,ATP,"Wimbledon minus equal-weight mean of Australian Open, Roland Garros, and US Open",1988,2025,38,calendar year jointly across all four Slams,2000,1.4240664620525756,1.1042783727924732,1.7550278799557029,0.8348942245478739,-0.42857100252195074,2.066712502537052,-0.5891722375047066,-1.838915808035314,0.6248162078240086,0.006912475592439321,0.002542513749068955,0.011184591207463556,0.017731479389929694,0.007576553856065086,0.027907772515427285
rating-history-sensitivities-v1,full_primary_1988_2025,retirement_strict_skip,fixed_primary,ATP,"Wimbledon minus equal-weight mean of Australian Open, Roland Garros, and US Open",1988,2025,38,calendar year jointly across all four Slams,2000,1.4240664620525756,1.1010390949661764,1.7269507741921328,0.8348942245478739,-0.4413011575832522,2.1313968946780766,-0.5891722375047066,-1.8215942691571638,0.6596504725572638,0.006912475592439321,0.0025740072159893906,0.01116706690493282,0.017731479389929694,0.00763093648659503,0.027655969580058226
rating-history-sensitivities-v1,full_primary_1988_2025,retirement_strict_skip,reselected_policy,ATP,"Wimbledon minus equal-weight mean of Australian Open, Roland Garros, and US Open",1988,2025,38,calendar year jointly across all four Slams,2000,1.6227329812676956,1.2671955171389842,1.9859381928372999,1.0165684921633193,-0.3879670072176787,2.2671148394778835,-0.6061644891043764,-1.973597753458442,0.6605081880952413,0.006828833921931982,0.0018664414750940376,0.011800421359563693,0.018425616977522208,0.005748553894522002,0.030455700945663713
rating-history-sensitivities-v1,full_primary_1988_2025,probable_duplicates_current,fixed_primary,WTA,"Wimbledon minus equal-weight mean of Australian Open, Roland Garros, and US Open",1988,2025,38,calendar year jointly across all four Slams,2000,1.5653075587363467,1.1393951953175712,2.005006868099338,0.511352364705516,-1.061417110528314,2.0859583402427258,-1.0539551940308274,-2.5340789277419233,0.449760993030508,0.002317512274154415,-0.004367007101994696,0.009314960413472998,0.007395876197006546,-0.00848511572849112,0.02459542306879153
