robustness_version,scenario,category,comparison_value,preferred_analysis,tour,slam,model,start_year,end_year,score_matches,upset_matches,calibration_matches,expected_upsets,actual_upsets,excess_upsets,expected_per_100,actual_per_100,excess_per_100,standardized_excess,brier_score,log_loss,score_tournament_editions,upset_tournament_editions,calibration_tournament_editions,note
slam-robustness-v1,common_alternative_elo_parameters,model_sensitivity,elo_k24_surface_0_25,False,ATP,Australian Open,elo_k24_surface_0_25,2001,2025,2958,2958,2958,950.9077375283608,763,-187.90773752836083,32.14698233699664,25.79445571331981,-6.3525266236768365,-7.6478479580996845,0.17488422316877555,0.5261362836105224,25,25,25,
slam-robustness-v1,common_alternative_elo_parameters,model_sensitivity,elo_k24_surface_0_25,False,ATP,Roland Garros,elo_k24_surface_0_25,2001,2025,3036,3034,3034,987.7158335012372,811,-176.71583350123717,32.55490552080544,26.730388925510876,-5.824516595294567,-7.065862453835939,0.17910373684857306,0.5353588330559511,25,25,25,
slam-robustness-v1,common_alternative_elo_parameters,model_sensitivity,elo_k24_surface_0_25,False,ATP,US Open,elo_k24_surface_0_25,2001,2025,2992,2991,2991,965.816489279939,803,-162.816489279939,32.29075524172314,26.847208291541293,-5.443546950181846,-6.582570759350239,0.17964866907312327,0.5362258163218506,25,25,25,
slam-robustness-v1,common_alternative_elo_parameters,model_sensitivity,elo_k24_surface_0_25,False,ATP,Wimbledon,elo_k24_surface_0_25,2001,2025,2933,2933,2933,993.9087727735027,787,-206.90877277350273,33.88710442459948,26.83259461302421,-7.054509811575272,-8.299723372601308,0.1853317998928762,0.5516760511959103,24,24,24,
slam-robustness-v1,common_alternative_elo_parameters,model_sensitivity,elo_k24_surface_0_25,False,WTA,Australian Open,elo_k24_surface_0_25,2007,2025,2382,2382,2382,678.5270481109334,684,5.472951889066621,28.485602355622728,28.715365239294712,0.22976288367198242,0.2593454251478582,0.18760750869860734,0.5525965561409709,19,19,19,
slam-robustness-v1,common_alternative_elo_parameters,model_sensitivity,elo_k24_surface_0_25,False,WTA,Roland Garros,elo_k24_surface_0_25,2007,2025,2368,2368,2368,708.8937625478911,717,8.106237452108871,29.936391999488645,30.278716216216214,0.3423242167275706,0.37793014035134675,0.19330962072228716,0.5670236798731318,19,19,19,
slam-robustness-v1,common_alternative_elo_parameters,model_sensitivity,elo_k24_surface_0_25,False,WTA,US Open,elo_k24_surface_0_25,2007,2025,2375,2375,2375,688.6733766445869,683,-5.673376644586938,28.996773753456292,28.757894736842104,-0.23887901661418684,-0.2673981743138618,0.1868045707120589,0.5535930061824909,19,19,19,
slam-robustness-v1,common_alternative_elo_parameters,model_sensitivity,elo_k24_surface_0_25,False,WTA,Wimbledon,elo_k24_surface_0_25,2007,2025,2242,2242,2242,694.5724636981164,698,3.427536301883606,30.980038523555592,31.132917038358606,0.15287851480301543,0.1622153119386909,0.19600039545663545,0.5748173429060316,18,18,18,
slam-robustness-v1,common_alternative_elo_parameters,model_sensitivity,elo_rank_init_surface_0_25,False,ATP,Australian Open,elo_rank_init_surface_0_25,2001,2025,2958,2958,2958,875.8347825499613,769,-106.83478254996135,29.609019017916204,25.997295469912103,-3.611723548004102,-4.475502793781435,0.17457798391248108,0.5235600083671804,25,25,25,
slam-robustness-v1,common_alternative_elo_parameters,model_sensitivity,elo_rank_init_surface_0_25,False,ATP,Roland Garros,elo_rank_init_surface_0_25,2001,2025,3036,3036,3036,913.6726736701298,818,-95.67267367012983,30.094620344865938,26.943346508563902,-3.1512738363020367,-3.929875574714284,0.17818540956682444,0.5313276477597573,25,25,25,
slam-robustness-v1,common_alternative_elo_parameters,model_sensitivity,elo_rank_init_surface_0_25,False,ATP,US Open,elo_rank_init_surface_0_25,2001,2025,2992,2992,2992,891.0433449928189,825,-66.0433449928189,29.78086046098994,27.573529411764707,-2.207331049225231,-2.750546891134546,0.17951554604497838,0.5339554534288762,25,25,25,
slam-robustness-v1,common_alternative_elo_parameters,model_sensitivity,elo_rank_init_surface_0_25,False,ATP,Wimbledon,elo_rank_init_surface_0_25,2001,2025,2933,2933,2933,916.6092150711587,826,-90.6092150711587,31.251592740237257,28.162291169451073,-3.0893015707861817,-3.735600797075988,0.18445121677444457,0.5480309449651795,24,24,24,
