robustness_version,scenario,comparison_value,tour,slam,model,reference_model,matches_delta,expected_per_100_delta,actual_per_100_delta,excess_per_100_delta,brier_score_delta,log_loss_delta
slam-robustness-v1,maximum_available_primary,all,ATP,Australian Open,market_odds,market_odds,0,0.0,0.0,0.0,0.0,0.0
slam-robustness-v1,maximum_available_primary,all,ATP,Australian Open,overall_elo,overall_elo,1681,0.7333490351990442,1.620305896403206,0.8869568612041623,0.0065219020173369335,0.014846205179603778
slam-robustness-v1,maximum_available_primary,all,ATP,Australian Open,surface_adjusted_elo,surface_adjusted_elo,1681,0.7876907164060611,1.6477505512615274,0.8600598348554698,0.006367844497464414,0.014456402397835744
slam-robustness-v1,maximum_available_primary,all,ATP,Roland Garros,market_odds,market_odds,0,0.0,0.0,0.0,0.0,0.0
slam-robustness-v1,maximum_available_primary,all,ATP,Roland Garros,overall_elo,overall_elo,1627,0.7398415238831539,1.488338485790095,0.7484969619069402,0.00849634234496327,0.02029622469960246
slam-robustness-v1,maximum_available_primary,all,ATP,Roland Garros,surface_adjusted_elo,surface_adjusted_elo,1627,0.7150447253254271,1.3788944490510673,0.6638497237256411,0.008064174310334404,0.019130362706457738
slam-robustness-v1,maximum_available_primary,all,ATP,US Open,market_odds,market_odds,0,0.0,0.0,0.0,0.0,0.0
slam-robustness-v1,maximum_available_primary,all,ATP,US Open,overall_elo,overall_elo,1597,0.6620030884097439,0.34408873011010144,-0.31791435829964154,0.004082062987962931,0.010146113770300058
slam-robustness-v1,maximum_available_primary,all,ATP,US Open,surface_adjusted_elo,surface_adjusted_elo,1597,0.6893559385899337,0.1944136311266469,-0.4949423074632868,0.0032528165203645487,0.008292298006728926
slam-robustness-v1,maximum_available_primary,all,ATP,Wimbledon,market_odds,market_odds,0,0.0,0.0,0.0,0.0,0.0
slam-robustness-v1,maximum_available_primary,all,ATP,Wimbledon,overall_elo,overall_elo,1629,0.640126629405966,1.5347062026647116,0.8945795732587476,0.006716766016648612,0.015751043248074748
slam-robustness-v1,maximum_available_primary,all,ATP,Wimbledon,surface_adjusted_elo,surface_adjusted_elo,1629,0.5702620106754352,1.3251899465081074,0.7549279358326704,0.005927200765309032,0.013503983149663945
slam-robustness-v1,maximum_available_primary,all,WTA,Australian Open,market_odds,market_odds,0,0.0,0.0,0.0,0.0,0.0
slam-robustness-v1,maximum_available_primary,all,WTA,Australian Open,overall_elo,overall_elo,2381,-0.7285212964766394,-1.1486262441754285,-0.4201049476987888,-0.005414504929439207,-0.014949270582075513
slam-robustness-v1,maximum_available_primary,all,WTA,Australian Open,surface_adjusted_elo,surface_adjusted_elo,2381,-0.5031171845295148,-1.2746237131202918,-0.7715065285907766,-0.005131522629081731,-0.014238592728246013
slam-robustness-v1,maximum_available_primary,all,WTA,Roland Garros,market_odds,market_odds,0,0.0,0.0,0.0,0.0,0.0
slam-robustness-v1,maximum_available_primary,all,WTA,Roland Garros,overall_elo,overall_elo,2387,-0.926450827783686,-1.3404186915622205,-0.41396786377853356,-0.006741559461397567,-0.01591469752406549
slam-robustness-v1,maximum_available_primary,all,WTA,Roland Garros,surface_adjusted_elo,surface_adjusted_elo,2387,-1.0139048994552198,-1.1714997726433047,-0.15759487318808407,-0.006947185791664284,-0.016668641369177006
slam-robustness-v1,maximum_available_primary,all,WTA,US Open,market_odds,market_odds,0,0.0,0.0,0.0,0.0,0.0
