analysis_version,population,tour,slam,model,dimension,group_value,bin_index,bin_lower,bin_upper,bin_upper_inclusive,calibration_matches,mean_favorite_probability,favorite_win_rate,calibration_error
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,all,all,0,0.5,0.6,False,1365,0.5475025047856408,0.5296703296703297,-0.0178321751153111
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,all,all,1,0.6,0.7,False,1223,0.6490687189590953,0.6860179885527392,0.03694926959364386
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,all,all,2,0.7,0.8,False,1019,0.7490414214638907,0.7968596663395485,0.04781824487565778
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,all,all,3,0.8,0.9,False,761,0.844756920968244,0.9198423127463863,0.07508539177814233
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,all,all,4,0.9,1.0,True,271,0.9313543269363461,0.977859778597786,0.04650545166143982
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,round,R128,0,0.5,0.6,False,798,0.5472825411155468,0.5175438596491229,-0.02973868146642389
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,round,R128,1,0.6,0.7,False,664,0.6485188401672382,0.6957831325301205,0.04726429236288232
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,round,R128,2,0.7,0.8,False,474,0.748043458876082,0.8122362869198312,0.06419282804374915
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,round,R128,3,0.8,0.9,False,297,0.8430574285621643,0.9393939393939394,0.09633651083177519
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,round,R128,4,0.9,1.0,True,100,0.9324838494018884,0.99,0.05751615059811155
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,round,R64,0,0.5,0.6,False,282,0.5480936721589377,0.524822695035461,-0.0232709771234767
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,round,R64,1,0.6,0.7,False,286,0.6485601907074733,0.6783216783216783,0.02976148761420505
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,round,R64,2,0.7,0.8,False,291,0.7494696604307077,0.7903780068728522,0.04090834644214447
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,round,R64,3,0.8,0.9,False,235,0.8454304038431228,0.9063829787234042,0.060952574880281385
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,round,R64,4,0.9,1.0,True,80,0.9323222887372731,0.975,0.0426777112627269
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,round,R32,0,0.5,0.6,False,157,0.5462988211950721,0.5668789808917197,0.020580159696647615
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,round,R32,1,0.6,0.7,False,145,0.6532446479548646,0.6827586206896552,0.029513972734790617
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,round,R32,2,0.7,0.8,False,118,0.7516224572476541,0.7542372881355932,0.0026148308879391235
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,round,R32,3,0.8,0.9,False,117,0.8495794769726108,0.9658119658119658,0.116232488839355
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,round,R32,4,0.9,1.0,True,50,0.9294930272336621,0.96,0.030506972766337848
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,round,R16,0,0.5,0.6,False,69,0.5463501690494719,0.6376811594202898,0.09133099037081793
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,round,R16,1,0.6,0.7,False,58,0.6455992200888008,0.6551724137931034,0.009573193704302652
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,round,R16,2,0.7,0.8,False,75,0.7466174292282415,0.76,0.013382570771758528
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,round,R16,3,0.8,0.9,False,64,0.8447636902256112,0.859375,0.014611309774388848
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,round,R16,4,0.9,1.0,True,27,0.9309452790728822,0.9629629629629629,0.03201768389008075
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,round,QF,0,0.5,0.6,False,31,0.5542931445139697,0.41935483870967744,-0.13493830580429228
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,round,QF,1,0.6,0.7,False,38,0.6528878121383572,0.6578947368421053,0.0050069247037480835
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,round,QF,2,0.7,0.8,False,33,0.7504175564180056,0.8181818181818182,0.06776426176381267
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,round,QF,3,0.8,0.9,False,33,0.8436932203003895,0.8484848484848485,0.004791628184458996
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,round,QF,4,0.9,1.0,True,8,0.9257985424105356,1.0,0.07420145758946439
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,round,SF,0,0.5,0.6,False,15,0.5520210366642271,0.6,0.047978963335772895
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,round,SF,1,0.6,0.7,False,24,0.6546412305846776,0.5833333333333334,-0.07130789725134423
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,round,SF,2,0.7,0.8,False,17,0.7573150105667494,0.8235294117647058,0.06621440119795641
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,round,SF,3,0.8,0.9,False,11,0.8305487857603016,0.7272727272727273,-0.10327605848757426
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,round,SF,4,0.9,1.0,True,5,0.9195830703268515,1.0,0.08041692967314851
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,round,F,0,0.5,0.6,False,13,0.5474273885720472,0.5384615384615384,-0.008965850110508766
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,round,F,1,0.6,0.7,False,8,0.627495469961805,0.875,0.24750453003819495
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,round,F,2,0.7,0.8,False,11,0.7526405536668738,0.9090909090909091,0.1564503554240353
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,round,F,3,0.8,0.9,False,4,0.8380569443065706,1.0,0.16194305569342937
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,round,F,4,0.9,1.0,True,1,0.9483769730096308,1.0,0.05162302699036925
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,era,1988-1999,0,0.5,0.6,False,475,0.5472743717348044,0.5157894736842106,-0.031484898050593846
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,era,1988-1999,1,0.6,0.7,False,403,0.6494258448435118,0.6823821339950372,0.032956289151525375
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,era,1988-1999,2,0.7,0.8,False,307,0.7490481844090946,0.749185667752443,0.00013748334334839907
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,era,1988-1999,3,0.8,0.9,False,208,0.8418499385494204,0.9134615384615384,0.07161159991211807
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,era,1988-1999,4,0.9,1.0,True,80,0.9293370357399542,0.975,0.04566296426004579
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,era,2000-2009,0,0.5,0.6,False,357,0.5476888679481413,0.5294117647058824,-0.018277103242258952
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,era,2000-2009,1,0.6,0.7,False,332,0.646961328178544,0.6686746987951807,0.021713370616636696
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,era,2000-2009,2,0.7,0.8,False,295,0.7486121076350811,0.8406779661016949,0.09206585846661375
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,era,2000-2009,3,0.8,0.9,False,194,0.8445006757237011,0.9175257731958762,0.07302509747217512
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,era,2000-2009,4,0.9,1.0,True,41,0.9293695900620045,1.0,0.07063040993799552
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,era,2010-2019,0,0.5,0.6,False,312,0.5458317173396211,0.5288461538461539,-0.01698556349346725
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,era,2010-2019,1,0.6,0.7,False,300,0.6492748151537108,0.71,0.06072518484628919
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,era,2010-2019,2,0.7,0.8,False,249,0.7496767151032371,0.8112449799196787,0.06156826481644162
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,era,2010-2019,3,0.8,0.9,False,239,0.8448363912702221,0.9246861924686193,0.07984980119839713
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,era,2010-2019,4,0.9,1.0,True,110,0.9352015535628435,0.9727272727272728,0.03752571916442926
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,era,2020-2025,0,0.5,0.6,False,221,0.5500505465652459,0.5610859728506787,0.011035426285432859
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,era,2020-2025,1,0.6,0.7,False,188,0.6516958633704705,0.6861702127659575,0.03447434939548699
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,era,2020-2025,2,0.7,0.8,False,168,0.748841321696772,0.7857142857142857,0.03687296401751372
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,era,2020-2025,3,0.8,0.9,False,120,0.8500516752881092,0.925,0.07494832471189083
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,era,2020-2025,4,0.9,1.0,True,40,0.926843391402462,0.975,0.04815660859753801
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1988,0,0.5,0.6,False,47,0.5482888351884329,0.40425531914893614,-0.1440335160394967
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1988,1,0.6,0.7,False,28,0.6491634211419337,0.6785714285714286,0.029408007429494898
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1988,2,0.7,0.8,False,17,0.7494321879066158,0.5882352941176471,-0.16119689378896873
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1988,3,0.8,0.9,False,20,0.8514783142934471,0.95,0.09852168570655284
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1988,4,0.9,1.0,True,12,0.9457953939891959,1.0,0.054204606010804124
