analysis_version,population,tour,slam,model,window_start_edition,window_end_edition,window_start_year,window_end_year,window_editions,score_matches,upset_matches,calibration_matches,expected_upsets,actual_upsets,excess_upsets,expected_per_100,actual_per_100,excess_per_100,standardized_excess,brier_score,log_loss,score_tournament_editions,upset_tournament_editions,calibration_tournament_editions,bootstrap_replicates,bootstrap_seed,confidence_level,expected_per_100_ci_lower,expected_per_100_ci_upper,actual_per_100_ci_lower,actual_per_100_ci_upper,excess_per_100_ci_lower,excess_per_100_ci_upper,standardized_excess_ci_lower,standardized_excess_ci_upper,brier_score_ci_lower,brier_score_ci_upper,log_loss_ci_lower,log_loss_ci_upper
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,1988:1988-580,1992:1992-580,1988,1992,5,621,621,621,193.73367136894095,200,6.266328631059054,31.19704852962012,32.2061191626409,1.0090706330207815,0.5642166321053915,0.19412309353472357,0.5639283148234855,5,5,5,2000,68955008746558308,0.95,30.426432411607653,32.23600661696918,29.77346278317152,34.61538461538462,-0.7594319661250889,2.9835214286363327,-0.4250312008440266,1.67735203309539,0.18756848873514184,0.1989353559153247,0.5492058547357762,0.5765494170002265
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,1989:1989-580,1993:1993-580,1989,1993,5,622,622,622,196.4298023623479,187,-9.429802362347914,31.580354077547895,30.064308681672028,-1.5160453958758704,-0.8434721158095322,0.19239628628069097,0.5635098442522517,5,5,5,2000,3336974841391753668,0.95,30.431688368171027,32.71952914072847,27.608346709470304,32.432432432432435,-4.646129957819777,0.8041141614137158,-2.562721315809493,0.4468110940196313,0.18582324919956034,0.1989353559153247,0.5488104179640854,0.5765494170002265
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,1990:1990-580,1994:1994-580,1990,1994,5,617,617,617,197.3401462119826,184,-13.340146211982614,31.983816241812416,29.821717990275527,-2.1620982515368903,-1.192071112784645,0.19203238345458976,0.5632588518704088,5,5,5,2000,12844624515231936851,0.95,30.962348150303132,33.05780242542826,27.168576104746318,32.432432432432435,-5.350649977185525,0.8041141614137158,-2.928653392010924,0.4468110940196313,0.18457588048183265,0.19894822211918564,0.5476799257312246,0.576617801537027
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,1991:1991-580,1995:1995-580,1991,1995,5,617,617,617,199.02124084495736,188,-11.021240844957362,32.25627890517948,30.47001620745543,-1.7862626977240457,-0.9825823078703046,0.18979270251909924,0.5586037160613069,5,5,5,2000,13850792187189398603,0.95,31.432808760930307,33.05780242542826,27.390599675850893,33.11897106109325,-5.350649977185525,1.1351687301134916,-2.928653392010924,0.6300186162385758,0.18271904364241146,0.19673011114455044,0.5448735207413724,0.5722479759140724
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,1992:1992-580,1996:1996-580,1992,1996,5,612,612,612,195.48384609190438,175,-20.483846091904383,31.94180491697784,28.594771241830067,-3.347033675147775,-1.8395097757929981,0.18628791745587858,0.5516547362821108,5,5,5,2000,15759379749361848854,0.95,31.2269047830432,32.68332303312386,25.853658536585364,31.484502446982056,-6.555468205289874,0.040207401630450036,-3.5820834975479,0.022219044511936913,0.1814368113840179,0.19292962212563772,0.5407030566971381,0.5651285307755686
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,1993:1993-580,1997:1997-580,1993,1997,5,610,610,610,197.3168287363414,173,-24.316828736341392,32.34702110431826,28.360655737704917,-3.9863653666133425,-2.1796536444602994,0.18377087215560223,0.5461325651074287,5,5,5,2000,11734270805996809505,0.95,31.799833755252017,32.890308324498676,25.695581014729953,31.034482758620687,-6.745362284092209,-1.0895486436391153,-3.6870710423839563,-0.5952552716244984,0.1814368113840179,0.18606698071951855,0.5404812287804109,0.5503927764121122
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,1994:1994-580,1998:1998-580,1994,1998,5,603,603,603,194.51944085240444,183,-11.519440852404443,32.2586137400339,30.34825870646766,-1.9103550335662427,-1.037893463510122,0.1885828801837453,0.5557837409734415,5,5,5,2000,3274250764742883529,0.95,31.799833755252017,32.69821637862314,27.242524916943523,33.443708609271525,-4.825967880231033,1.0524105580493834,-2.6415317018471596,0.5715099712000677,0.18207376154560367,0.198363017490795,0.5416066007599402,0.5785275657610932
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,1995:1995-580,1999:1999-580,1995,1999,5,608,608,608,198.0153024571064,190,-8.0153024571064,32.56830632518198,31.250000000000004,-1.318306325181974,-0.7163064433127591,0.19409769742743857,0.5698559853919133,5,5,5,2000,12924045784883170755,0.95,31.869738383012056,33.31647245363005,27.86885245901639,34.0567612687813,-4.204833499816702,1.4029586892893624,-2.305465864789524,0.7541320548792491,0.18482615494962448,0.20351533247053058,0.5473323733575736,0.5938291864858647
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,1996:1996-580,2000:2000-580,1996,2000,5,609,609,609,201.14533370943752,192,-9.145333709437523,33.02879042847907,31.52709359605911,-1.5016968324199544,-0.8123479929675489,0.19620677739318537,0.5748487857476596,5,5,5,2000,9691091517014558400,0.95,32.27624524997824,33.75094947589005,28.150572831423897,34.33333333333333,-4.383484225158725,0.959840839785006,-2.3921806833059804,0.5160752490209702,0.1869469766571944,0.20549703800001864,0.5523539127488591,0.5974176550392193
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,1997:1997-580,2001:2001-580,1997,2001,5,613,613,613,205.53260956850843,196,-9.532609568508434,33.52897382846793,31.973898858075042,-1.555074970392893,-0.8393610978778656,0.19562686131395007,0.5736235319099854,5,5,5,2000,9959014728237993265,0.95,33.012336450571276,34.012132913486404,29.30756843800322,34.21926910299003,-4.485869002967624,0.9276801120807598,-2.4329955900395164,0.4970126674381648,0.18591639622474376,0.20549703800001864,0.5502144269543641,0.5974176550392193
